,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,人口數,性比例,人口密度,扶養比,扶幼比,扶老比,老化指數,0-14歲人口數,15-64歲人口數,65歲以上人口數,15歲以上博士人口數,15歲以上碩士人口數,15歲以上大學院校人口數,15歲以上專科人口數,15歲以上高中職人口數,15歲以上國中初職人口數,15歲以上小學人口數,15歲以上自修人口數,15歲以上不識字人口數,15歲以上未婚人口數,15歲以上有偶人口數,15歲以上離婚人口數,自然增加人數,社會增加人數,總戶數,綜合所得總額,綜合所得平均數,綜合所得中位數,綜合所得第一分位數,綜合所得第三分位數,綜合所得標準差,各類所得金額合計,各類所得金額薪資所得,106green,m106300,m106300s,m106500,m106500s,fire,police,primary,secondary,gym,area,名稱,multiHospital,1
新北市三峽區三峽里,新北市,65000090,三峽區,65000090-001,三峽里,316,130.66,9843.01,47.66,15.89,31.78,200.0,34,214,68,0,13,57,47,95,37,30,1,2,124,133,37,-2,0,125,783322.0,721.0,561.0,351.0,912.0,614.28,46925.0,33675.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,38370.0,1.0,2.0,0.0
新北市三峽區中埔里,新北市,65000090,三峽區,65000090-004,中埔里,3258,96.27,4492.22,28.52,18.97,9.55,50.31,481,2535,242,9,105,644,287,994,488,237,3,10,1524,1312,294,17,72,1199,1742357.0,841.0,582.0,352.0,1005.0,1021.62,640423.0,563807.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1387444.0,1.0,2.0,1.0
新北市三峽區中正里,新北市,65000090,三峽區,65000090-025,中正里,5568,100.79,5601.51,28.8,17.07,11.73,68.7,738,4323,507,11,145,1051,451,1676,953,483,7,53,2602,2227,481,16,15,1766,650607.0,696.0,526.0,333.0,851.0,675.46,915307.0,799620.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1477467.0,1.0,0.0,1.0
新北市三峽區二鬮里,新北市,65000090,三峽區,65000090-026,二鬮里,3747,102.98,1865.63,26.08,14.6,11.47,78.57,434,2972,341,8,126,765,347,1184,584,272,4,23,1693,1496,368,6,-11,1351,5682329.0,1203.0,878.0,454.0,1578.0,1330.66,678128.0,580912.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6382624.0,0.0,0.0,0.0
新北市三峽區五寮里,新北市,65000090,三峽區,65000090-014,五寮里,974,114.54,69.1,45.59,12.86,32.74,254.65,86,669,219,1,9,112,39,305,205,174,4,39,352,440,80,-5,-6,376,94083.0,960.0,504.0,265.0,880.0,2202.46,87471.0,70051.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13730198.0,0.0,0.0,1.0
新北市三峽區介壽里,新北市,65000090,三峽區,65000090-023,介壽里,7039,102.85,1982.75,24.76,15.38,9.38,60.94,868,5642,529,17,163,1408,595,2251,1191,503,7,36,3264,2700,801,25,-52,2603,2063318.0,1134.0,815.0,420.0,1551.0,1082.55,1061563.0,913394.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2511198.0,1.0,0.0,1.0
新北市三峽區八張里,新北市,65000090,三峽區,65000090-003,八張里,4258,99.72,12204.66,32.94,19.39,13.55,69.89,621,3203,434,4,132,832,391,1269,632,336,15,26,1927,1790,345,15,0,1516,1155399.0,735.0,551.0,349.0,922.0,674.54,807573.0,686290.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,120010.0,1.0,2.0,0.0
新北市三峽區嘉添里,新北市,65000090,三峽區,65000090-011,嘉添里,2567,136.15,393.95,51.27,13.79,37.48,271.79,234,1697,636,4,66,402,194,736,489,384,13,45,1119,1047,258,-57,16,792,249421.0,717.0,509.0,322.0,805.0,750.01,413103.0,297986.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6564512.0,0.0,0.0,2.0
新北市三峽區大埔里,新北市,65000090,三峽區,65000090-010,大埔里,4317,113.61,591.71,31.42,15.53,15.89,102.35,510,3285,522,28,135,745,360,1279,743,454,13,50,1858,1847,359,5,-41,1433,198313.0,668.0,508.0,338.0,824.0,588.32,817872.0,698718.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,4280737.0,0.0,0.0,2.0
新北市三峽區安坑里,新北市,65000090,三峽區,65000090-021,安坑里,1543,124.6,81.39,41.3,13.46,27.84,206.8,147,1092,304,2,17,197,85,407,355,255,13,65,607,698,117,-10,-16,588,62348.0,649.0,522.0,324.0,787.0,565.89,180146.0,147329.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20833177.0,0.0,0.0,1.0
