,鄉鎮市區代碼,含車位_各建物型態整體中位數房價,不含車位_各建物型態整體中位數房價
200,63000010,35400000.0,17940000.0
201,63000020,29000000.0,15500000.0
202,63000030,39000000.0,21350000.0
203,63000040,24500000.0,13200000.0
204,63000050,35000000.0,14300000.0
205,63000060,25400000.0,10000000.0
206,63000070,25500000.0,9500000.0
207,63000080,20355000.0,12200000.0
208,63000090,27280000.0,14500000.0
209,63000100,30000000.0,15165000.0
210,63000110,28800000.0,14970000.0
211,63000120,11759021.0,11670000.0
250,65000010,16250000.0,9600000.0
251,65000020,15500000.0,9600000.0
252,65000030,16450000.0,9800000.0
253,65000040,18550000.0,11180000.0
254,65000050,13500000.0,9700000.0
255,65000060,15840000.0,11000000.0
256,65000070,12250000.0,7500000.0
257,65000080,7360000.0,6450000.0
258,65000090,6549407.0,6000000.0
259,65000100,9600000.0,6800000.0
260,65000110,11200000.0,8500000.0
261,65000120,6900000.0,2965000.0
262,65000130,13480000.0,8615000.0
263,65000140,15000000.0,10000000.0
264,65000150,9690000.0,8480000.0
265,65000160,11000000.0,8450000.0
266,65000170,12890000.0,10700000.0
267,65000180,10800000.0,7450000.0
268,65000190,6500000.0,9200000.0
269,65000200,4148000.0,2013000.0
270,65000210,3290000.0,2250000.0
271,65000220,4148000.0,1600000.0
272,65000230,7800000.0,6410000.0
273,65000240,4148000.0,2013000.0
274,65000250,4148000.0,2375000.0
275,65000260,1050000.0,2250000.0
276,65000270,4600000.0,3235294.0
277,65000280,5300000.0,1590000.0
278,65000290,4148000.0,3200000.0
