COUNTYNAME,TOWNNAME,VILLNAME,DN
臺北市,南港區,西新里,"18"
臺北市,南港區,重陽里,"18"
臺北市,內湖區,蘆洲里,"18"
臺北市,內湖區,石潭里,"18"
新北市,新店區,建國里,"18"
新北市,新店區,福民里,"18"
新北市,石碇區,彭山里,"18"
新北市,新店區,忠誠里,"18"
新北市,新店區,新安里,"18"
新北市,新店區,國豐里,"18"
新北市,中和區,崇南里,"18"
新北市,石碇區,烏塗里,"18"
新北市,中和區,忠孝里,"18"
新北市,新店區,復興里,"18"
新北市,中和區,錦和里,"18"
新北市,中和區,東南里,"18"
臺北市,松山區,慈祐里,"18"
臺北市,南港區,新光里,"18"
臺北市,松山區,東勢里,"18"
臺北市,松山區,東光里,"18"
臺北市,內湖區,湖元里,"18"
臺北市,內湖區,樂康里,"18"
臺北市,內湖區,東湖里,"18"
臺北市,文山區,木柵里,"18"
臺北市,文山區,景東里,"18"
臺北市,文山區,興家里,"18"
臺北市,文山區,政大里,"18"
臺北市,文山區,景慶里,"18"
臺北市,文山區,景華里,"18"
臺北市,文山區,興福里,"18"
臺北市,文山區,景仁里,"18"
臺北市,文山區,興得里,"18"
臺北市,文山區,興安里,"18"
臺北市,信義區,四育里,"18"
臺北市,信義區,永吉里,"18"
臺北市,南港區,聯成里,"18"
臺北市,南港區,合成里,"18"
臺北市,松山區,新聚里,"18"
臺北市,松山區,吉祥里,"18"
臺北市,松山區,復勢里,"18"
臺北市,松山區,美仁里,"18"
臺北市,中山區,力行里,"18"
新北市,深坑區,埔新里,"18"
新北市,中和區,員富里,"18"
新北市,永和區,,"18"
新北市,汐止區,長安里,"18"
新北市,萬里區,龜吼里,"18"
新北市,萬里區,,"18"
新北市,萬里區,,"18"
新北市,萬里區,磺潭里,"18"
臺北市,內湖區,南湖里,"18"
臺北市,松山區,精忠里,"18"
臺北市,內湖區,明湖里,"18"
臺北市,內湖區,葫洲里,"18"
新北市,烏來區,福山里,"18"
新北市,烏來區,信賢里,"18"
新北市,三峽區,五寮里,"18"
新北市,烏來區,孝義里,"18"
新北市,烏來區,烏來里,"18"
新北市,三峽區,有木里,"18"
新北市,三峽區,插角里,"18"
新北市,三峽區,金圳里,"18"
新北市,烏來區,忠治里,"18"
新北市,新店區,龜山里,"18"
新北市,三峽區,二鬮里,"18"
新北市,新店區,廣興里,"18"
新北市,三峽區,竹崙里,"18"
新北市,三峽區,弘道里,"18"
新北市,坪林區,石[曹]里,"18"
新北市,三峽區,中埔里,"18"
新北市,坪林區,大林里,"18"
新北市,新店區,屈尺里,"18"
新北市,鶯歌區,二甲里,"18"
新北市,三峽區,鳶山里,"18"
新北市,新店區,華城里,"18"
新北市,新店區,達觀里,"18"
新北市,鶯歌區,二橋里,"18"
新北市,新店區,粗坑里,"18"
新北市,三峽區,安坑里,"18"
新北市,坪林區,水德里,"18"
新北市,新店區,吉祥里,"18"
新北市,新店區,玫瑰里,"18"
新北市,坪林區,坪林里,"18"
新北市,新店區,美城里,"18"
新北市,新店區,明城里,"18"
新北市,新店區,直潭里,"18"
新北市,新店區,塗潭里,"18"
新北市,鶯歌區,同慶里,"18"
新北市,新店區,小城里,"18"
新北市,石碇區,永安里,"18"
新北市,坪林區,粗窟里,"18"
新北市,新店區,日興里,"18"
新北市,新店區,青潭里,"18"
新北市,鶯歌區,南靖里,"18"
新北市,鶯歌區,尖山里,"18"
新北市,鶯歌區,東鶯里,"18"
新北市,鶯歌區,中鶯里,"18"
新北市,新店區,國校里,"18"
新北市,鶯歌區,建國里,"18"
新北市,鶯歌區,南鶯里,"18"
新北市,新店區,新店里,"18"
新北市,鶯歌區,永昌里,"18"
新北市,新店區,太平里,"18"
新北市,新店區,文中里,"18"
新北市,新店區,張南里,"18"
新北市,新店區,廣明里,"18"
新北市,鶯歌區,永吉里,"18"
新北市,新店區,雙坑里,"18"
新北市,新店區,安昌里,"18"
新北市,鶯歌區,北鶯里,"18"
新北市,鶯歌區,西鶯里,"18"
新北市,新店區,文明里,"18"
新北市,新店區,公崙里,"18"
新北市,新店區,香坡里,"18"
新北市,新店區,雙城里,"18"
新北市,新店區,美潭里,"18"
新北市,新店區,員潭里,"18"
新北市,新店區,中興里,"18"
新北市,新店區,新生里,"18"
新北市,新店區,下城里,"18"
