,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,人口數,性比例,人口密度,扶養比,扶幼比,扶老比,老化指數,0-14歲人口數,15-64歲人口數,65歲以上人口數,15歲以上博士人口數,15歲以上碩士人口數,15歲以上大學院校人口數,15歲以上專科人口數,15歲以上高中職人口數,15歲以上國中初職人口數,15歲以上小學人口數,15歲以上自修人口數,15歲以上不識字人口數,15歲以上未婚人口數,15歲以上有偶(不同性別)人口數,15歲以上有偶(相同性別)人口數,15歲以上離婚(不同性別)人口數,15歲以上離婚(相同性別)人口數,自然增加人數,社會增加人數,總戶數,綜合所得總額,綜合所得平均數,綜合所得中位數,綜合所得第一分位數,綜合所得第三分位數,各類所得金額合計(108年起),各類所得金額薪資所得(108年起),110green,fire,police,primary,secondary,gym,area,名稱,multiHospital,1
新北市三峽區三峽里,新北市,65000090,三峽區,65000090-001,三峽里,318,132.12,8289.02,59.8,20.6,39.2,190.24,41,199,78,0,15,64,40,94,32,25,1,1,82,135,0,35,0,0,-2,123.0,-,-,-,-,-,-,-,1.0,1.0,1.0,1.0,1.0,0.0,38370.0,1.0,2.0,0.0
新北市三峽區中埔里,新北市,65000090,三峽區,65000090-004,中埔里,3775,95.29,2721.29,34.49,21.3,13.18,61.87,598,2807,370,8,153,865,306,1091,506,220,2,10,1124,1579,5,326,0,1,15,1405.0,-,-,-,-,-,-,-,1.0,1.0,1.0,1.0,1.0,0.0,1387444.0,1.0,2.0,1.0
新北市三峽區中正里,新北市,65000090,三峽區,65000090-025,中正里,5450,103.43,3689.35,29.76,14.79,14.98,101.29,621,4200,629,10,167,1191,455,1632,888,436,4,37,1815,2226,2,528,0,-5,-9,1808.0,-,-,-,-,-,-,-,1.0,1.0,1.0,1.0,1.0,0.0,1477467.0,1.0,0.0,1.0
新北市三峽區二鬮里,新北市,65000090,三峽區,65000090-026,二鬮里,3698,100.98,579.48,30.76,13.44,17.33,128.95,380,2828,490,10,131,823,330,1185,566,244,4,16,1214,1499,3,412,0,-2,-44,1381.0,-,-,-,-,-,-,-,1.0,0.0,1.0,0.0,0.0,0.0,6382624.0,0.0,0.0,0.0
新北市三峽區五寮里,新北市,65000090,三峽區,65000090-014,五寮里,861,120.2,62.72,46.93,9.9,37.03,374.14,58,586,217,1,7,122,34,282,185,142,3,26,247,384,0,80,0,-1,2,359.0,-,-,-,-,-,-,-,1.0,0.0,1.0,0.0,0.0,0.0,13730198.0,0.0,0.0,1.0
新北市三峽區介壽里,新北市,65000090,三峽區,65000090-023,介壽里,7045,104.92,2805.89,28.42,14.51,13.91,95.85,796,5486,763,18,206,1585,587,2197,1151,463,7,22,2323,2707,4,901,1,-5,24,2794.0,-,-,-,-,-,-,-,1.0,1.0,1.0,0.0,1.0,0.0,2511198.0,1.0,0.0,1.0
新北市三峽區八張里,新北市,65000090,三峽區,65000090-003,八張里,4217,97.8,35144.6,34.47,17.57,16.9,96.19,551,3136,530,11,153,936,389,1264,600,281,11,19,1327,1748,2,380,0,-3,-35,1552.0,-,-,-,-,-,-,-,1.0,1.0,1.0,1.0,1.0,0.0,120010.0,1.0,2.0,0.0
新北市三峽區嘉添里,新北市,65000090,三峽區,65000090-011,嘉添里,2324,131.7,354.08,50.03,11.36,38.67,340.34,176,1549,599,5,69,433,197,687,438,286,6,24,782,963,0,270,1,-12,-18,803.0,-,-,-,-,-,-,-,1.0,0.0,1.0,1.0,0.0,0.0,6564512.0,0.0,0.0,2.0
新北市三峽區大埔里,新北市,65000090,三峽區,65000090-010,大埔里,4254,115.72,993.92,35.18,15.35,19.83,129.19,483,3147,624,35,165,821,363,1243,708,381,11,34,1294,1784,2,420,2,-7,-32,1515.0,-,-,-,-,-,-,-,1.0,1.0,1.0,1.0,1.0,0.0,4280737.0,0.0,0.0,2.0
新北市三峽區安坑里,新北市,65000090,三峽區,65000090-021,安坑里,1441,131.3,69.18,42.81,10.31,32.51,315.38,104,1009,328,2,14,236,77,387,341,220,10,49,448,643,0,130,0,-2,2,577.0,-,-,-,-,-,-,-,1.0,0.0,0.0,1.0,0.0,0.0,20833177.0,0.0,0.0,1.0
新北市三峽區安溪里,新北市,65000090,三峽區,65000090-024,安溪里,7709,96.11,19152.75,26.88,13.41,13.46,100.37,815,6076,818,20,314,1988,700,2306,1013,510,9,28,2711,3077,4,738,0,4,-57,2802.0,-,-,-,-,-,-,-,1.0,1.0,1.0,1.0,1.0,0.0,402568.0,1.0,2.0,1.0
新北市三峽區弘道里,新北市,65000090,三峽區,65000090-005,弘道里,1178,130.08,173.48,38.43,14.92,23.5,157.48,127,851,200,1,24,219,67,326,259,140,0,12,373,512,1,93,0,1,3,417.0,-,-,-,-,-,-,-,1.0,0.0,1.0,1.0,0.0,0.0,6791592.0,0.0,0.0,0.0
新北市三峽區成福里,新北市,65000090,三峽區,65000090-020,成福里,972,116.48,276.47,37.29,11.72,25.56,218.07,83,708,181,1,18,202,75,296,171,122,1,2,333,399,0,77,0,0,-8,323.0,-,-,-,-,-,-,-,1.0,0.0,1.0,1.0,0.0,0.0,3516326.0,0.0,0.0,1.0
