COUNTYNAME,TOWNNAME,VILLNAME,DN
臺北市,內湖區,石潭里,"25"
臺北市,內湖區,湖元里,"25"
臺北市,內湖區,行善里,"25"
臺北市,內湖區,週美里,"25"
臺北市,內湖區,湖興里,"25"
臺北市,南港區,西新里,"24"
臺北市,南港區,重陽里,"24"
臺北市,內湖區,蘆洲里,"24"
臺北市,內湖區,石潭里,"24"
臺北市,南港區,新光里,"24"
臺北市,南港區,聯成里,"24"
臺北市,南港區,合成里,"24"
臺北市,南港區,九如里,"24"
臺北市,南港區,仁福里,"24"
臺北市,南港區,百福里,"24"
臺北市,信義區,中行里,"24"
臺北市,南港區,成福里,"24"
臺北市,南港區,中南里,"24"
臺北市,南港區,東明里,"24"
臺北市,南港區,東新里,"24"
臺北市,內湖區,湖興里,"24"
臺北市,內湖區,寶湖里,"24"
臺北市,南港區,西新里,"26"
臺北市,內湖區,石潭里,"26"
臺北市,松山區,慈祐里,"26"
臺北市,內湖區,湖元里,"26"
臺北市,信義區,四育里,"26"
臺北市,信義區,永吉里,"26"
臺北市,南港區,聯成里,"26"
臺北市,南港區,合成里,"26"
臺北市,松山區,新聚里,"26"
臺北市,松山區,吉祥里,"26"
臺北市,信義區,大道里,"26"
臺北市,信義區,永春里,"26"
臺北市,南港區,鴻福里,"26"
臺北市,信義區,四維里,"26"
臺北市,信義區,五全里,"26"
臺北市,信義區,六藝里,"26"
臺北市,信義區,敦厚里,"26"
臺北市,南港區,成福里,"26"
臺北市,南港區,萬福里,"26"
臺北市,信義區,五常里,"26"
臺北市,松山區,復盛里,"26"
臺北市,信義區,新仁里,"26"
臺北市,信義區,雅祥里,"26"
臺北市,松山區,安平里,"26"
臺北市,南港區,玉成里,"26"
臺北市,松山區,自強里,"26"
臺北市,松山區,鵬程里,"26"
臺北市,內湖區,行善里,"26"
臺北市,內湖區,週美里,"26"
臺北市,松山區,新東里,"26"
臺北市,南港區,重陽里,"22"
臺北市,內湖區,蘆洲里,"22"
臺北市,內湖區,石潭里,"22"
新北市,石碇區,烏塗里,"22"
臺北市,南港區,新光里,"22"
臺北市,文山區,政大里,"22"
新北市,深坑區,埔新里,"22"
臺北市,內湖區,南湖里,"22"
臺北市,內湖區,葫洲里,"22"
新北市,烏來區,福山里,"22"
新北市,烏來區,信賢里,"22"
新北市,烏來區,孝義里,"22"
新北市,烏來區,烏來里,"22"
新北市,石碇區,永安里,"22"
新北市,坪林區,粗窟里,"22"
新北市,石碇區,格頭里,"22"
新北市,深坑區,阿柔里,"22"
新北市,石碇區,潭邊里,"22"
新北市,深坑區,萬順里,"22"
新北市,深坑區,深坑里,"22"
新北市,深坑區,昇高里,"22"
新北市,石碇區,豐林里,"22"
新北市,深坑區,賴仲里,"22"
新北市,深坑區,萬福里,"22"
新北市,石碇區,中民里,"22"
新北市,石碇區,隆盛里,"22"
新北市,深坑區,土庫里,"22"
臺北市,文山區,指南里,"22"
臺北市,文山區,萬興里,"22"
臺北市,文山區,興昌里,"22"
臺北市,文山區,博嘉里,"22"
臺北市,信義區,黎安里,"22"
臺北市,大安區,黎和里,"22"
臺北市,信義區,泰和里,"22"
臺北市,信義區,惠安里,"22"
臺北市,信義區,六合里,"22"
臺北市,南港區,九如里,"22"
臺北市,南港區,舊莊里,"22"
臺北市,南港區,中研里,"22"
臺北市,南港區,中南里,"22"
臺北市,南港區,東明里,"22"
臺北市,南港區,東新里,"22"
臺北市,南港區,南港里,"22"
臺北市,南港區,三重里,"22"
臺北市,內湖區,五分里,"22"
臺北市,內湖區,寶湖里,"22"
新北市,新店區,建國里,"11"
新北市,新店區,福民里,"11"
新北市,新店區,國豐里,"11"
新北市,新店區,復興里,"11"
新北市,新店區,中華里,"11"
新北市,新店區,百福里,"11"
新北市,新店區,中正里,"11"
新北市,新店區,仁愛里,"11"
新北市,新店區,百忍里,"11"
新北市,新店區,福德里,"11"
新北市,新店區,中央里,"11"
新北市,新店區,百和里,"11"
新北市,新店區,明德里,"11"
新北市,新店區,大豐里,"11"
新北市,新店區,和平里,"11"
新北市,新店區,大同里,"11"
新北市,新店區,江陵里,"11"
新北市,新店區,中山里,"11"
新北市,新店區,建國里,"12"
新北市,新店區,忠誠里,"12"
新北市,新店區,新安里,"12"
新北市,新店區,國豐里,"12"
新北市,新店區,復興里,"12"
新北市,新店區,中正里,"12"
新北市,新店區,仁愛里,"12"
新北市,新店區,張北里,"12"
新北市,新店區,明德里,"12"
新北市,新店區,大豐里,"12"
新北市,新店區,大同里,"12"
新北市,新店區,江陵里,"12"
新北市,新店區,寶安里,"12"
新北市,新店區,寶興里,"12"
新北市,新店區,寶福里,"12"
新北市,新店區,信義里,"12"
新北市,新店區,福民里,"14"
新北市,新店區,太平里,"14"
新北市,新店區,文中里,"14"
新北市,新店區,張南里,"14"
新北市,新店區,廣明里,"14"
