COUNTYNAME,TOWNNAME,VILLNAME,fire,police,primary,secondary,gym,area,ID,名稱
新北市,板橋區,金華里,,"1",,"1","1","67435",5|1,新北市立聯合醫院 板橋院區
新北市,板橋區,自強里,"1","1",,,,"83401",5|1,新北市立聯合醫院 板橋院區
新北市,板橋區,自立里,,"1",,"1",,"49625",5|1,新北市立聯合醫院 板橋院區
新北市,板橋區,民安里,"1","1",,,,"50344",5|1,新北市立聯合醫院 板橋院區
新北市,板橋區,民權里,"1","1",,,,"44874",5|1,新北市立聯合醫院 板橋院區
新北市,板橋區,建國里,"1","1",,,"1","65892",5|1,新北市立聯合醫院 板橋院區
新北市,板橋區,香雅里,,"1",,"1",,"171152",5|1,新北市立聯合醫院 板橋院區
新北市,板橋區,漢生里,"1","1",,"1",,"111888",5|1,新北市立聯合醫院 板橋院區
新北市,板橋區,國光里,,"1",,,"1","45447",5|1,新北市立聯合醫院 板橋院區
新北市,板橋區,新民里,"1","1",,"1",,"305458",5|1,新北市立聯合醫院 板橋院區
新北市,板橋區,社後里,"1","1",,"1","1","171494",5|1,新北市立聯合醫院 板橋院區
新北市,板橋區,港德里,,"1",,"1","1","67005",5|1,新北市立聯合醫院 板橋院區
新北市,板橋區,公舘里,"1","1",,"1","1","77103",5|1,新北市立聯合醫院 板橋院區
新北市,板橋區,百壽里,"1","1",,"1",,"53891",5|1,新北市立聯合醫院 板橋院區
新北市,板橋區,港尾里,,"1",,"1","1","40943",5|1,新北市立聯合醫院 板橋院區
新北市,板橋區,新生里,,"1",,"1","1","57300",5|1,新北市立聯合醫院 板橋院區
新北市,板橋區,香社里,,"1",,"1","1","270122",5|1,新北市立聯合醫院 板橋院區
新北市,板橋區,幸福里,,"1",,"1","1","108618",5|1,新北市立聯合醫院 板橋院區
新北市,板橋區,忠誠里,"1","1",,"1",,"127787",5|1,新北市立聯合醫院 板橋院區
新北市,板橋區,文德里,,"1",,"1","1","56638",5|1,新北市立聯合醫院 板橋院區
新北市,板橋區,陽明里,"1","1",,"1",,"46130",5|1,新北市立聯合醫院 板橋院區
新北市,板橋區,德翠里,,"1",,"1","1","132054",5|1,新北市立聯合醫院 板橋院區
新北市,板橋區,新翠里,"1","1",,"1","1","125650",5|1,新北市立聯合醫院 板橋院區
新北市,板橋區,朝陽里,,,,"1","1","64833",5|1,新北市立聯合醫院 板橋院區
新北市,板橋區,新海里,"1","1",,"1","1","107678",5|1,新北市立聯合醫院 板橋院區
新北市,板橋區,中正里,"1","1","1","1","1","848557",5|1,新北市立聯合醫院 板橋院區
新北市,板橋區,新民里,"1","1",,"1",,"305458",5|4,新北市立聯合醫院 板橋院區
新北市,板橋區,新民里,"1","1",,"1",,"305458",5|4|2,新北市立聯合醫院 板橋院區
新北市,板橋區,溪頭里,"1","1",,"1",,"786967",14|7,新北市立聯合醫院 板橋院區
新北市,板橋區,德翠里,,"1",,"1","1","132054",15|1,新北市立聯合醫院 板橋院區
新北市,板橋區,新海里,"1","1",,"1","1","107678",15|1,新北市立聯合醫院 板橋院區
新北市,板橋區,仁翠里,,,,"1",,"40838",15|1,新北市立聯合醫院 板橋院區
新北市,板橋區,吉翠里,"1","1",,"1","1","55600",15|1,新北市立聯合醫院 板橋院區
新北市,板橋區,中正里,"1","1","1","1","1","848557",15|1,新北市立聯合醫院 板橋院區
新北市,板橋區,宏翠里,"1","1","1","1",,"449669",15|1,新北市立聯合醫院 板橋院區
新北市,新莊區,文德里,"1","1","1","1",,"91688",15|1,新北市立聯合醫院 板橋院區
新北市,板橋區,德翠里,,"1",,"1","1","132054",15|5|1,新北市立聯合醫院 板橋院區
新北市,板橋區,新海里,"1","1",,"1","1","107678",15|5|1,新北市立聯合醫院 板橋院區
新北市,板橋區,中正里,"1","1","1","1","1","848557",15|5|1,新北市立聯合醫院 板橋院區
