VILLCODE,COUNTYNAME,TOWNNAME,VILLNAME,COUNTYCODE,TOWNCODE,105green,105water,108green,109green,110green,107green,106green,m109300,m109300s,m109500,m109500s,m108300,m108300s,m108500,m108500s,m107300,m107300s,m107500,m107500s,m106300,m106300s,m106500,m106500s,m105300,m105300s,m105500,m105500s,fire,police,primary,secondary,gym,area
"63000090008",臺北市,南港區,西新里,"63000","63000090","1","0","0","0","1","1","1","1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1","1","1","1",,"469990"
"63000090020",臺北市,南港區,重陽里,"63000","63000090","0","1","1","0","1","1","0",,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,"1","1","1","1",,"385433"
"63000100037",臺北市,內湖區,蘆洲里,"63000","63000100","1","1","1","1","1","1","0","1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1","1","1",,,"771968"
"63000100028",臺北市,內湖區,石潭里,"63000","63000100","1","1","1","1","1","1","1",,,,,,,,,,,,,,,,,,,,,"1","1","1",,,"1167225"
"65000060061",新北市,新店區,建國里,"65000","65000060","0","0","0","0","0","0","0","1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1","1","1",,,"55518"
"65000060051",新北市,新店區,福民里,"65000","65000060","1","1","1","1","1","1","1","1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1","1","1",,,"285053"
"65000190005",新北市,石碇區,彭山里,"65000","65000190","1","0","1","1","1","1","1",,,,,,,,,,,,,,,,,,,,,,"1",,,,"3242896"
"65000130037",新北市,土城區,員信里,"65000","65000130","1","0","1","1","1","1","1","1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1","1","1",,,"152068"
"65000130001",新北市,土城區,埤塘里,"65000","65000130","1","0","1","1","1","1","1","1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1","1","1",,,"2464860"
"65000060043",新北市,新店區,忠誠里,"65000","65000060","0","0","0","0","1","1","1","1",,"1",,"1",,,,"1",,,,"1",,,,"1",,,,"1","1","1",,,"60853"
"65000060042",新北市,新店區,新安里,"65000","65000060","0","0","0","0","1","1","0","1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1","1","1",,,"92982"
"65000130013",新北市,土城區,清和里,"65000","65000130","1","0","1","1","1","1","1",,,,,,,,,,,,,,,,,,,,,,"1",,,,"473673"
"65000060001",新北市,新店區,國豐里,"65000","65000060","1","0","1","1","1","1","1","1",,"1","1","1",,"1","1","1",,"1","1","1",,"1","1","1",,"1","1","1","1","1",,,"83254"
"65000130004",新北市,土城區,員仁里,"65000","65000130","1","0","1","1","1","1","1",,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,"1","1","1",,,"384324"
"65000030039",新北市,中和區,崇南里,"65000","65000030","1","0","1","1","1","1","1",,,"1","1",,,"1","1",,,"1",,,,"1","1",,,"1",,"1","1","1","1",,"60616"
"65000130028",新北市,土城區,廣福里,"65000","65000130","0","0","1","0","1","1","1",,,,,,,,,,,,,,,,,,,,,"1","1","1","1","1","102487"
"65000190004",新北市,石碇區,烏塗里,"65000","65000190","1","0","1","1","1","1","1",,,,,,,,,,,,,,,,,,,,,,"1","1",,,"10195781"
