,名稱,lon,lat
0,竿蓁林,121.45624,25.16228
1,淡金鄧公,121.4608247,25.1692723
2,淡江大學,121.4559534,25.1768621
3,淡金北新,121.4522642,25.1811287
4,淡水行政中心,121.444522,25.189021
5,濱海義山,121.4373995,25.1897487
6,新市一路,121.44845,25.183637
7,濱海沙崙,121.43138,25.19052
8,淡海新市鎮,121.432487,25.1956978
9,崁頂,121.434541,25.200782
10,新莊副都心,121.4456162,25.0592415
11,新北產業園區,121.459187,25.061717
12,泰山,121.4394357,25.0532126
13,A6 泰山貴和站,121.4226287,25.0332198
14,林口,121.3613465,25.0658036
15,南港展覽館,121.6168358,25.0548748
16,昆陽,121.5932272,25.0504904
17,南港軟體園區,121.6159153,25.0600781
18,大湖公園,121.6022065,25.0837953
19,文德,121.5849503,25.0785513
20,內湖,121.5942486,25.0835589
21,文湖國小,121.561538,25.084381
22,港墘,121.5752003,25.0800546
23,西湖,121.5672853,25.0821512
24,東湖,121.6116127,25.0671748
25,葫洲,121.6078852,25.0724174
26,麟光,121.5588237,25.01851
27,松山機場,121.551738,25.0633862
28,劍南路,121.5555961,25.084863
29,大直,121.5471493,25.0798837
30,中山國中,121.5442076,25.06077999999999
31,南京復興,121.544009,25.0520785
32,台北小巨蛋,121.551879,25.051668
33,南京三民,121.563858,25.051429
34,松山,121.5782834,25.049284
35,後山埤,121.58252,25.04505
36,永春,121.5763155,25.0408274
37,市政府,121.5665591,25.0412366
38,國父紀念館,121.5575216,25.0413783
39,忠孝敦化,121.5504928,25.0413698
40,忠孝復興,121.5437808,25.0416216
41,象山,121.5700821,25.03281459999999
42,台北101/世貿,121.5627598,25.03303039999999
43,信義安和,121.5529574,25.0332705
44,大安,121.5435299,25.0332003
45,大安森林公園,121.5353131,25.0335283
46,東門,121.5287139,25.0338762
47,中正紀念堂,121.5183115,25.0326494
48,古亭,121.5228141,25.0265508
49,忠孝新生,121.5329,25.04236
50,善導寺,121.5233604,25.0448491
51,台大醫院,121.5166385,25.0412666
52,松江南京,121.5330819,25.0519821
53,中山,121.520391,25.052685
54,台北車站,121.51753,25.04625
55,行天宮,121.53318,25.05972
56,民權西路,121.5197213,25.0628632
57,中山國小,121.5264705,25.0627123
58,雙連,121.5206671,25.0577788
59,辛亥,121.5570925,25.0055191
60,木柵,121.573145,24.99824
61,動物園,121.579517,24.9982722
62,萬芳社區,121.568102,24.998585
63,萬芳醫院,121.5580505,24.9994093
64,大坪林,121.541351,24.982899
65,七張,121.54294,24.97517
66,景美,121.5408272,24.9928277
67,新店,121.53758,24.95784
68,新店區公所,121.5415249,24.9678581
69,萬隆,121.5390875,25.001684
70,六張犁,121.5531523,25.0238086
71,公館,121.53422,25.01491
72,科技大樓,121.5434607,25.0260787
73,台電大樓,121.5290642,25.0202411
74,小碧潭,121.5307062,24.9717316
75,頂溪,121.51551,25.01382
76,永安市場,121.5111088,25.0023452
77,景安,121.5048261,24.99382689999999
78,南勢角,121.5091044,24.9901276
79,小南門,121.5108002,25.0356186
80,海山,121.4487807,24.9853715
81,土城,121.4442503,24.9731415
82,頂埔,121.4197519,24.9594071
83,永寧,121.43607,24.96673
84,亞東醫院,121.4525477,24.9984977
85,府中,121.4594333,25.0085455
86,板橋,121.4624431,25.0138225
87,新埔,121.4685884,25.0229996
88,江子翠,121.4723249,25.0299168
89,龍山寺,121.4998019,25.0351014
90,西門,121.5082995,25.0421884
91,北門,121.510278,25.049285
92,台北車站,121.51375,25.04882
93,北投,121.4986418,25.1317795
94,奇岩,121.5011094,25.1255353
95,唭哩岸,121.5061653,25.1208333
96,淡水,121.4456756,25.167714
97,竹圍,121.4595256,25.13691429999999
98,紅樹林,121.4589185,25.1550093
99,復興崗,121.4854037,25.1376416
100,忠義,121.473322,25.1309308
101,關渡,121.4671,25.12563
102,明德,121.5187479,25.1098383
103,芝山,121.5225201,25.1029453
104,台北橋,121.50044,25.06318
105,三重,121.4827149,25.0548073
106,圓山,121.52012,25.07135
107,劍潭,121.5249762,25.0842798
108,士林,121.526214,25.093456
109,三重國小,121.4967621,25.0706729
110,三和國中,121.486462,25.0767991
111,大橋頭,121.5135995,25.0630769
112,菜寮,121.49146,25.05981
113,先嗇宮,121.4714928,25.04624879999999
114,頭前庄,121.4605244,25.0398423
115,新莊,121.45255,25.0361555
116,輔大,121.4352511,25.0329026
117,丹鳳,121.4224593,25.0288568
118,迴龍,121.4116256,25.0219364
119,徐匯中學,121.4800132,25.080482
120,三民高中,121.4735054,25.0855718
121,蘆洲,121.4645412,25.0917337
122,新北投,121.5022901,25.1369406
123,捷運南港站,121.60635,25.05188
