WKT,名稱,說明
"POINT (121.426376 25.191141)",台北海洋大學,
"POINT (121.417312 25.18753)",沙崙,
"POINT (121.418627 25.182015)",淡水漁人碼頭,
"POINT (121.45998 25.04997999999999)",幸福,
"POINT (121.4668305 25.0262809)",新埔民生,
"POINT (121.4722693 25.0144227)",板新,
"POINT (121.4646952 25.0153185)",板橋,
"POINT (121.4843081 25.0084444)",中原,
"POINT (121.4904937 25.0046002)",橋和,
"POINT (121.49598 25.00235)",中和,
"POINT (121.5163861 24.992109)",景平,
"POINT (121.5250153 24.9902926)",秀朗橋,
"POINT (121.52768 24.9844)",十四張,
"POINT (121.45624 25.16228)",竿蓁林,
"POINT (121.4608247 25.1692723)",淡金鄧公,
"POINT (121.4559534 25.1768621)",淡江大學,
"POINT (121.4522642 25.1811287)",淡金北新,
"POINT (121.444522 25.189021)",淡水行政中心,
"POINT (121.4373995 25.1897487)",濱海義山,
"POINT (121.44845 25.183637)",新市一路,
"POINT (121.43138 25.19052)",濱海沙崙,
"POINT (121.432487 25.1956978)",淡海新市鎮,
"POINT (121.434541 25.200782)",崁頂,
"POINT (121.4456162 25.0592415)",新莊副都心,
"POINT (121.459187 25.061717)",新北產業園區,
"POINT (121.4394357 25.0532126)",泰山,
"POINT (121.4226287 25.0332198)",A6 泰山貴和站,
"POINT (121.3613465 25.0658036)",林口,
"POINT (121.6168358 25.0548748)",南港展覽館,
"POINT (121.5932272 25.0504904)",昆陽,
"POINT (121.6159153 25.0600781)",南港軟體園區,
"POINT (121.6022065 25.0837953)",大湖公園,
"POINT (121.5849503 25.0785513)",文德,
"POINT (121.5942486 25.0835589)",內湖,
"POINT (121.561538 25.084381)",文湖國小,
"POINT (121.5752003 25.0800546)",港墘,
"POINT (121.5672853 25.0821512)",西湖,
"POINT (121.6116127 25.0671748)",東湖,
"POINT (121.6078852 25.0724174)",葫洲,
"POINT (121.5588237 25.01851)",麟光,
"POINT (121.551738 25.0633862)",松山機場,
"POINT (121.5555961 25.084863)",劍南路,
"POINT (121.5471493 25.0798837)",大直,
"POINT (121.5442076 25.06077999999999)",中山國中,
"POINT (121.544009 25.0520785)",南京復興,
"POINT (121.551879 25.051668)",台北小巨蛋,
"POINT (121.563858 25.051429)",南京三民,
"POINT (121.5782834 25.049284)",松山,
"POINT (121.58252 25.04505)",後山埤,
"POINT (121.5763155 25.0408274)",永春,
"POINT (121.5665591 25.0412366)",市政府,
"POINT (121.5575216 25.0413783)",國父紀念館,
"POINT (121.5504928 25.0413698)",忠孝敦化,
"POINT (121.5437808 25.0416216)",忠孝復興,
"POINT (121.5700821 25.03281459999999)",象山,
"POINT (121.5627598 25.03303039999999)",台北101/世貿,
"POINT (121.5529574 25.0332705)",信義安和,
"POINT (121.5435299 25.0332003)",大安,
