WKT,名稱,說明
"POINT (121.4542534 25.0239707)",新北市板橋區板橋國民中學,
"POINT (121.4675424 25.0183945)",新北市立中山國民中學,
"POINT (121.4487222 25.0111472)",新北市立大觀國民中學,
"POINT (121.461613 25.0040996)",新北市立忠孝國民中學,
"POINT (121.4317847 24.997841)",新北市立溪崑國民中學,
"POINT (121.4684592 25.0288632)",新北市板橋區江翠國民中學,
"POINT (121.462459 24.9981363)",新北市立重慶國民中學,
"POINT (121.4597107 25.0248193)",新北市立新埔國民中學,
"POINT (121.4800173 25.0658422)",新北市三重區二重國民中學,
"POINT (121.488933 25.087156)",新北市立碧華國民中學,
"POINT (121.4868237 25.0756513)",新北市三重區三和國民中學,
"POINT (121.4881791 25.0736585)",新北市私立格致中學,
"POINT (121.4999178 25.0704534)",新北市三重區光榮國民中學,
"POINT (121.5087918 24.9855434)",新北市立中和國民中學,
"POINT (121.5056702 25.0020142)",新北市立漳和國民中學,
"POINT (121.5209434 25.0040606)",新北市立福和國民中學,
"POINT (121.491084 24.992544)",新北市立錦和高中,
"POINT (121.4787482 25.0005962)",新北市立積穗國民中學,
"POINT (121.4780512 24.9943663)",新北市立中和高級中學,
"POINT (121.4730798 24.9980397)",新北市立自強國民中學,
"POINT (121.52301 25.0058967)",新北市立永和國民中學,
"POINT (121.5209434 25.0040606)",新北市立福和國民中學,
"POINT (121.507843 25.0109996)",市立永平高中附設國中,
"POINT (121.523597 25.006782)",永和國中,
"POINT (121.5085744 25.0106314)",新北市立永平高級中學,
"POINT (121.452037 25.0354319)",新北市新莊區新莊國民中學,
"POINT (121.4226278 25.0253278)",新北市立福營國民中學,
"POINT (121.4434786 25.0422918)",新北市立新泰國民中學,
"POINT (121.4434788 25.0535454)",新北市立中平國民中學,
"POINT (121.4445402 25.048226)",新北市立新莊高級中學,
"POINT (121.4590608 25.0546978)",新北市立頭前國民中學,
"POINT (121.5441602 24.9667222)",新北市立五峰國民中學,
"POINT (121.538935 24.956705)",新北市立文山國民中學,
"POINT (121.4999349 24.953604)",新北市立達觀國民中小學,
"POINT (121.5145853 24.9696795)",新北市立安康高級中學,
"POINT (121.5555398 24.9835854)",臺北市立實踐國民中學,
"POINT (121.4294264 24.9627975)",新北市土城區土城國民中學,
"POINT (121.4567578 24.9835198)",新北市立中正國民中學,
"POINT (121.4654307 24.9824041)",新北市立清水高中國中部,
"POINT (121.4399429 24.9826917)",新北市私立裕德雙語高級中學,
"POINT (121.4666728 25.086934)",新北市立蘆洲國民中學,
"POINT (121.4615222 25.0908836)",新北市立鷺江國民中學,
"POINT (121.4791308 25.0795864)",新北市私立天主教徐匯高級中學附設國中部,
"POINT (121.4151914 24.9853151)",新北市立育林國民中學,
"POINT (121.4146724 25.0063705)",新北市立三多國民中學,
"POINT (121.3841873 24.9547066)",新北市立柑園國民中學,
"POINT (121.4222733 24.9830072)",新北市立樹林高級中學,
"POINT (121.4317847 24.997841)",新北市立溪崑國民中學,
"POINT (121.6583371 25.0669566)",新北市立汐止國民中學,
"POINT (121.6398504 25.0659772)",新北市立樟樹國際實創高級中等學校,
"POINT (121.65666 25.0611597)",新北市汐止區青山國民中小學,
"POINT (121.6608704 25.0657829)",新北市立秀峰高級中學,
"POINT (121.3448534 24.9504584)",新北市立鶯歌國民中學,
"POINT (121.3421559 24.9436969)",新北市立尖山國民中學,
"POINT (121.331827 24.967511)",新北市立鳳鳴國民中學,
"POINT (121.369127 24.939053)",新北市三峽國民中學,
"POINT (121.3728151 24.9265939)",安溪國中,
"POINT (121.3659443 24.903624)",市立明德高中附設國中,
"POINT (121.4366735 25.1749602)",新北市立淡水國民中學,
"POINT (121.447565 25.179051)",新北市立正德國民中學,
"POINT (121.4471902 25.2254279)",正德國中賢孝校區,
"POINT (121.4371192 25.1763329)",新北市私立淡江高級中學,
"POINT (121.461822 25.145158)",竹圍國中,
"POINT (121.8165372 25.1077512)",新北市立瑞芳國民中學,
"POINT (121.8455581 25.1051478)",新北市立欽賢國民中學,
"POINT (121.887016 25.121137)",新北市立欽賢國中鼻頭分部,
"POINT (121.8549124 25.1093387)",新北市私立時雨高級中學,
"POINT (121.4353103 25.08304589999999)",新北市立五股國民中學,
"POINT (121.4256889 25.0653869)",新北市立泰山國民中學,
"POINT (121.431268 25.0517424)",新北市立義學國民中學,
"POINT (121.4297682 25.0578001)",新北市泰山區泰山高級中學,
"POINT (121.3775622 25.0762471)",新北市立林口國民中學,
"POINT (121.3842208 25.0803649)",新北市立佳林國民中學,
"POINT (121.3701667 25.0684112)",新北市立崇林國民中學,
"POINT (121.3957871 25.0795375)",私立醒吾高級中學附設國中部,
"POINT (121.3898641 25.0742054)",康橋國際學校 林口校區,
"POINT (121.3810618 25.0735476)",新北市立林口高級中學,
"POINT (121.6183191 25.0009541)",新北市立深坑國民中學,
"POINT (121.6420778 25.0128178)",新北市立石碇高級中學,
"POINT (121.7332611 25.0243644)",教育部永續校園-平溪國中,
"POINT (121.7489082 25.0960443)",基隆市立碇內國民中學,
"POINT (121.6583371 25.0669566)",新北市立汐止國民中學,
"POINT (121.5540847 24.8633308)",新北市立烏來國中小,
"POINT (121.712909 24.9372145)",坪林國中,
"POINT (121.5018147 25.259347)",新北市立三芝國民中學,
"POINT (121.564478 25.291248)",新北市立石門實驗國民中學,
"POINT (121.4009503 25.1395242)",新北市立八里國民中學,
"POINT (121.4500269 25.1353801)",私立聖心女中附設國中,
"POINT (121.7332611 25.0243644)",教育部永續校園-平溪國中,
"POINT (121.8631591 25.0351734)",市立雙溪高中國中部,
"POINT (121.907827 25.016433)",教育部永續校園_新北市貢寮實驗國中,
"POINT (121.9017465 25.0656393)",豐珠中學,
"POINT (121.637008 25.224676)",新北市立金山高級中學,
"POINT (121.6944122 25.1770477)",新北市立萬里國民中學,
"POINT (121.5540847 24.8633308)",新北市立烏來國中小,
"POINT (121.5563789 25.0568339)",臺北市立介壽國民中學,
"POINT (121.5464829 25.0508605)",臺北市立敦化國民中學,
"POINT (121.5667159 25.0597793)",臺北市立民生國民中學 (地震優先安置學校),
"POINT (121.5455307 25.0606103)",臺北市立中山國民中學,
"POINT (121.5543515 25.0506859)",臺北市私立育達高級中等學校雙語國中高中部-思源大樓,
"POINT (121.566347 25.055357)",臺北市立西松高級中學,
"POINT (121.5616827 25.0496729)",臺北市立中崙高級中學,
"POINT (121.5677566 25.0288257)",臺北市立信義國民中學,
"POINT (121.5854371 25.0370894)",臺北市立瑠公國民中學,
"POINT (121.5722586 25.035644)",台北市立興雅國民中學,
"POINT (121.5737906 25.0483189)",臺北市立永吉國民中學,
"POINT (121.5835344 25.0426096)",臺北市協和祐德高級中等學校,
"POINT (121.5477558 25.0306323)",臺北市立大安國民中學,
"POINT (121.5388404 25.0111994)",臺北市民族實驗國民中學,
"POINT (121.5387036 25.0244738)",臺北市立龍門國民中學,
"POINT (121.5411475 25.0403808)",臺北市立懷生國民中學,
"POINT (121.5508351 25.037321)",臺北市立仁愛國民中學,
"POINT (121.5323017 25.0309289)",臺北市立金華國民中學,
"POINT (121.5395764 25.0349861)",師大附中國中部(明德樓),
"POINT (121.5263386 25.062038)",臺北市立新興國民中學,
"POINT (121.5455307 25.0606103)",臺北市立中山國民中學,
"POINT (121.5311135 25.0498831)",臺北市立長安國民中學,
"POINT (121.5432509 25.0634724)",臺北市立五常國民中學,
"POINT (121.5415678 25.0777783)",臺北市立北安國民中學,
"POINT (121.5607499 25.07955)",臺北市濱江實驗國民中學,
"POINT (121.5186507 25.0516308)",臺北市立建成國民中學,
