WKT,名稱,說明
"POINT (121.5459241 25.0483873)",臺北市政府消防局第三大隊中崙消防分隊,
"POINT (121.518198 25.0871453)",臺北市政府消防局第四大隊後港消防分隊(專救隊),
"POINT (121.4541434 25.0009771)",新北市政府消防局,
"POINT (121.5270328 25.0436916)",臺北市政府消防局第一大隊忠孝消防分隊(專救隊),
"POINT (121.4958489 25.0284366)",臺北市政府消防局第一大隊雙園消防分隊,
"POINT (121.4648197 25.0090461)",新北市政府消防局第一大隊新板消防分隊,
"POINT (121.454288 25.001215)",新北市政府消防局特搜大隊南雅消防分隊,
"POINT (121.5432533 25.0300264)",臺北市政府消防局第二大隊復興消防分隊,
"POINT (121.5691085 25.0455184)",臺北市政府消防局第二大隊永吉消防分隊(高救隊),
"POINT (121.5633964 24.9888412)",臺北市政府消防局第一大隊木柵消防分隊,
"POINT (121.5375935 25.0115086)",臺北市政府消防局第一大隊古亭消防分隊,
"POINT (121.5270328 25.0436916)",臺北市政府消防局第一大隊忠孝消防分隊(專救隊),
"POINT (121.5650742 25.0296165)",臺北市政府消防局第二大隊莊敬消防分隊,
"POINT (121.5690155 25.0406236)",臺北市政府消防局暨第二大隊信義消防分隊,
"POINT (121.5412338 24.9923588)",臺北市政府消防局第一大隊景美消防分隊,
"POINT (121.5522726 25.0328134)",臺北市政府消防局第二大隊安和消防分隊,
"POINT (121.527769 25.0326281)",臺北市政府消防局第二大隊金華消防分隊,
"POINT (121.607262 25.0546829)",台北市政府消防局第二大隊南港中隊,
"POINT (121.5297453 25.0685057)",臺北市政府消防局第三大隊圓山消防分隊,
"POINT (121.5341196 25.0477515)",臺北市政府消防局第三大隊松江消防分隊,
"POINT (121.5135224 25.0469241)",臺北市政府消防局第一大隊城中消防分隊,
"POINT (121.5566625 25.0802007)",臺北市政府消防局第三大隊大直消防分隊,
"POINT (121.807882 25.1071737)",新北市政府消防局第六大隊瑞芳消防分隊,
"POINT (121.4397936 25.0824517)",新北市政府消防局第二大隊五股消防分隊,
"POINT (121.6339967 25.064992)",新北市政府消防局第六大隊暨社后消防分隊,
"POINT (121.586749 25.0478277)",臺北市政府消防局第二大隊成德消防分隊,
"POINT (121.5666334 25.0022098)",臺北市政府消防局第一大隊萬芳消防分隊,
"POINT (121.4993489 25.0386083)",臺北市政府消防局第一大隊龍山消防分隊,
"POINT (121.5548204 24.9799718)",臺北市政府消防局第一大隊寶橋消防分隊,
"POINT (121.4738904 25.0241326)",新北市政府消防局第一大隊暨莒光消防分隊,
"POINT (121.3883485 25.0788543)",新北市政府消防局第二大隊林口消防分隊,
"POINT (121.3628174 25.0699669)",新北市政府消防局第二大隊文化消防分隊,
"POINT (121.4568111 25.0632561)",新北市政府消防局第二大隊五工分隊,
"POINT (121.4510342 25.0359794)",新北市政府消防局第二大隊暨新莊消防分隊,
"POINT (121.427571 25.029393)",新北市政府消防局第二大隊福營消防分隊,
"POINT (121.500512 25.25867389999999)",新北市政府消防局第三大隊三芝消防分隊,
"POINT (121.5354992 25.0679977)",臺北市政府消防局第三大隊建國消防分隊(專救隊),
"POINT (121.5902044 25.0696749)",臺北市政府消防局第三大隊內湖消防分隊,
"POINT (121.5628869 25.0486171)",台北市政府消防局第三大隊松山中隊,
"POINT (121.544706 25.097617)",臺北市政府消防局第四大隊雙溪消防分隊,
"POINT (121.5277413 25.0900906)",臺北市政府消防局第四大隊士林中隊劍潭分隊,
"POINT (121.5137668 25.0615016)",臺北市政府消防局第四大隊大同消防分隊,
"POINT (121.5113037 25.0502854)",台北市政府消防局第四大隊大同中隊,
"POINT (121.5464548 25.1515205)",臺北市政府消防局第四大隊陽明山消防分隊,
"POINT (121.4931134 25.1456293)",臺北市政府消防局第四大隊秀山消防分隊,
"POINT (121.6281238 25.0027359)",新北市政府消防局第四大隊深坑消防分隊,
"POINT (121.5170394 24.9796954)",新北市政府消防局第四大隊安和消防分隊,
"POINT (121.5421467 24.9690824)",新北市政府消防局第四大隊暨新店消防分隊,
"POINT (121.518198 25.0871453)",臺北市政府消防局第四大隊後港消防分隊(專救隊),
"POINT (121.4450692 24.9733853)",新北市政府消防局第五大隊土城消防分隊,
"POINT (121.4600797 24.9885266)",新北市政府消防局第五大隊清水消防分隊,
"POINT (121.3346692 24.967104)",新北市政府消防局第五救災救護大隊鳳鳴分隊,
"POINT (121.3753402 24.9305958)",新北市政府消防局第五大隊三峽消防分隊,
"POINT (121.421016 25.0073645)",新北市政府消防局第五大隊樹潭消防分隊,
"POINT (121.4232387 24.9758595)",新北市政府消防局 第五大隊 樹林消防分隊,
"POINT (121.4029876 24.9604599)",新北市政府消防局第五大隊柑園消防分隊,
"POINT (121.4244025 24.9651745)",新北市政府消防局第五大隊頂埔消防分隊,
"POINT (121.3428324 24.9519497)",新北市政府消防局第五大隊鶯歌消防分隊,
"POINT (121.5674741 25.290645)",新北市政府消防局第六大隊石門消防分隊,
"POINT (121.628265 25.220941)",新北市政府消防局第六大隊金山消防分隊,
"POINT (121.6894723 25.1799452)",新北市政府消防局第六大隊萬里消防分隊,
"POINT (121.8467605 25.1062223)",新北市政府消防局第六大隊九份消防分隊,
"POINT (121.8666241 25.0319827)",新北市政府消防局第六大隊雙溪消防分隊,
"POINT (121.9524219 25.0208147)",新北市政府消防局第六大隊貢寮消防分隊,
"POINT (121.7324727 25.0233237)",新北市政府消防局第六大隊平溪消防分隊,
"POINT (121.6595317 25.0676857)",新北市政府消防局第六大隊汐止消防分隊,
"POINT (121.6201814 25.05044999999999)",新北市政府消防局第六大隊橫科消防分隊,
