WKT,名稱,說明
"POINT (121.581875 25.0487933)",臺北市南港運動中心,
"POINT (121.5213449 25.0548433)",臺北市中山運動中心,
"POINT (121.566768 25.0316985)",臺北市信義運動中心Taipei Xinyi Sports Center,
"POINT (121.5161993 25.065371)",臺北市大同運動中心,
"POINT (121.550582 25.0485899)",臺北市松山運動中心,
"POINT (121.5098316 25.1165007)",臺北市北投運動中心,
"POINT (121.5747649 25.0781567)",臺北市內湖運動中心 Taipei Neihu Sports Center,
"POINT (121.5068875 25.047455)",臺北萬華運動中心,
"POINT (121.519462 25.0384552)",中正運動中心,
"POINT (121.5215623 25.0894226)",士林運動中心,
"POINT (121.5594549 24.9970144)",臺北市文山運動中心,
"POINT (121.4577278 25.022699)",新北市板橋國民運動中心,
"POINT (121.4477684 25.0396395)",新北市新莊國民運動中心,
"POINT (121.5241966 25.0031513)",新北市永和國民運動中心,
"POINT (121.4874329 24.9930603)",新北市中和國民運動中心,
"POINT (121.423351 25.0041909)",新北市樹林國民運動中心,
"POINT (121.4345916 25.0559747)",新北市泰山國民運動中心,
"POINT (121.4620618 25.0911212)",新北市蘆洲國民運動中心,
"POINT (121.4878983 25.0546254)",新北市三重國民運動中心,
"POINT (121.3575345 24.9511958)",新北市鶯歌國民運動中心,
"POINT (121.4572112 24.9855894)",新北市土城國民運動中心,
