,名稱,lon,lat
0,臺北市南港運動中心,121.581875,25.0487933
1,臺北市中山運動中心,121.5213449,25.0548433
2,臺北市信義運動中心Taipei Xinyi Sports Center,121.566768,25.0316985
3,臺北市大同運動中心,121.5161993,25.065371
4,臺北市松山運動中心,121.550582,25.0485899
5,臺北市北投運動中心,121.5098316,25.1165007
6,臺北市內湖運動中心 Taipei Neihu Sports Center,121.5747649,25.0781567
7,臺北萬華運動中心,121.5068875,25.047455
8,中正運動中心,121.519462,25.0384552
9,士林運動中心,121.5215623,25.0894226
10,臺北市文山運動中心,121.5594549,24.9970144
11,新北市板橋國民運動中心,121.4577278,25.022699
12,新北市新莊國民運動中心,121.4477684,25.0396395
13,新北市永和國民運動中心,121.5241966,25.0031513
14,新北市中和國民運動中心,121.4874329,24.9930603
15,新北市樹林國民運動中心,121.423351,25.0041909
16,新北市泰山國民運動中心,121.4345916,25.0559747
17,新北市蘆洲國民運動中心,121.4620618,25.0911212
18,新北市三重國民運動中心,121.4878983,25.0546254
19,新北市鶯歌國民運動中心,121.3575345,24.9511958
20,新北市土城國民運動中心,121.4572112,24.9855894
