縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,不含車位_各建物型態合計棟數,不含車位_公寓棟數,不含車位_透天厝棟數,不含車位_店面(店舖)棟數,不含車位_辦公商業大樓棟數,不含車位_住宅大樓棟數,不含車位_華廈棟數,不含車位_套房棟數,不含車位_工廠棟數,不含車位_廠辦棟數,不含車位_農舍棟數,不含車位_倉庫棟數,不含車位_其他建物型態棟數,不含車位_各建物型態合計面積,不含車位_公寓面積,不含車位_透天厝面積,不含車位_店面(店舖)面積,不含車位_辦公商業大樓面積,不含車位_住宅大樓面積,不含車位_華廈面積,不含車位_套房面積,不含車位_工廠面積,不含車位_廠辦面積,不含車位_農舍面積,不含車位_倉庫面積,不含車位_其他建物型態面積,不含車位_各建物型態整體中位數房價,不含車位_公寓中位數房價,不含車位_透天厝中位數房價,不含車位_店面(店舖)中位數房價,不含車位_辦公商業大樓中位數房價,不含車位_住宅大樓中位數房價,不含車位_華廈中位數房價,不含車位_套房中位數房價,不含車位_工廠中位數房價,不含車位_廠辦中位數房價,不含車位_農舍中位數房價,不含車位_倉庫中位數房價,不含車位_其他建物型態中位數房價,含車位_各建物型態合計棟數,含車位_公寓棟數,含車位_透天厝棟數,含車位_店面(店舖)棟數,含車位_辦公商業大樓棟數,含車位_住宅大樓棟數,含車位_華廈棟數,含車位_套房棟數,含車位_工廠棟數,含車位_廠辦棟數,含車位_農舍棟數,含車位_倉庫棟數,含車位_其他建物型態棟數,含車位_各建物型態合計面積,含車位_公寓面積,含車位_透天厝面積,含車位_店面(店舖)面積,含車位_辦公商業大樓面積,含車位_住宅大樓面積,含車位_華廈面積,含車位_套房面積,含車位_工廠面積,含車位_廠辦面積,含車位_農舍面積,含車位_倉庫面積,含車位_其他建物型態面積,含車位_各建物型態整體中位數房價,含車位_公寓中位數房價,含車位_透天厝中位數房價,含車位_店面(店舖)中位數房價,含車位_辦公商業大樓中位數房價,含車位_住宅大樓中位數房價,含車位_華廈中位數房價,含車位_套房中位數房價,含車位_工廠中位數房價,含車位_廠辦中位數房價,含車位_農舍中位數房價,含車位_倉庫中位數房價,含車位_其他建物型態中位數房價,資料時間
09007,連江縣,09007010,南竿鄉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"107Y"
09007,連江縣,09007020,北竿鄉,1,,,1,,,,,,,,,,605.18,,,605.18,,,,,,,,,,47000000,,,47000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"107Y"
09007,連江縣,09007030,莒光鄉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"107Y"
09007,連江縣,09007040,東引鄉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"107Y"
09020,金門縣,09020010,金城鎮,133,68,32,,,4,26,1,,,2,,,4807.24,1722.13,2081.90,,,194.40,647.81,15.62,,,145.37,,,5500000,4750000,10250000,,,17360000,5200000,4000000,,,13050000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"107Y"
09020,金門縣,09020020,金沙鎮,19,13,2,,,,3,,,,,,1,577.43,339.66,127.80,,,,87.21,,,,,,22.76,4200000,4200000,2751850,,,,4800000,,,,,,2200000,1,1,,,,,,,,,,,,43.50,43.50,,,,,,,,,,,,4800000,4800000,,,,,,,,,,,,"107Y"
09020,金門縣,09020030,金湖鎮,172,33,57,2,,,69,4,7,,,,,6709.66,828.05,3127.67,110.98,,,2015.36,60.71,566.89,,,,,6800000,4600000,8600000,12940000,,,6290000,3800000,14257500,,,,,81,2,38,,,,41,,,,,,,5227.61,105.22,3093.68,,,,2028.71,,,,,,,8000000,5200000,10000000,,,,5500000,,,,,,,"107Y"
09020,金門縣,09020040,金寧鄉,130,73,20,,,,29,7,,,1,,,4269.02,2005.88,1230.36,,,,825.75,107.54,,,99.49,,,5275000,5100000,11750000,,,,5080000,2200000,,,12000000,,,22,2,12,,,,8,,,,,,,1515.41,54.81,1084.70,,,,375.90,,,,,,,10500000,4800000,12660000,,,,7200000,,,,,,,"107Y"
09020,金門縣,09020050,烈嶼鄉,1,,1,,,,,,,,,,,32.71,,32.71,,,,,,,,,,,8000000,,8000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"107Y"
09020,金門縣,09020060,烏坵鄉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"107Y"
