Region,County Name,Township Name,Village Name,c_Population,c_Sex Ratio,c_Population Density,c_Dependency Ratio,c_Child Dependency Ratio,c_Elderly Dependency Ratio,c_Aging Index,c_Population aged 0-14,c_Population aged 15-64,c_Population aged 65 and above,j_15 with Doctorate Degree,j_15 with Master Degree,j_15 with University Education,j_15 with Vocational Education,j_15 with Senior High School Education,j_15 with Junior High School Education,j_15 with Elementary School Education,j_15 with Self-Taught Education,j_15 who are Illiterate,c_15 who are Unmarried,c_15 who are Married,c_15 who are Divorced,c_Natural Increase,c_Social Increase,c_Total Number of Households,ji_Total Comprehensive Income,ji_Average Comprehensive Income,ji_Median Comprehensive Income,ji_Comprehensive Income Q1,ji_Comprehensive Income Q3,ji_Comprehensive Income std,ji_Total Amount of Various Types of Income,ji_Income from Wages and Salaries,Median Housing Price with parking space,Median Housing Price no parking space,NO2,PM2.5,water,108green,m108300,m108300s,m108500,m108500s,fire,police,primary,secondary,gym,area,multiHospital,Shelter
新北市三峽區三峽里,新北市,三峽區,三峽里,328,142.96,10230.82,54.72,19.81,34.91,176.19,42,212,74,0,17,63,47,95,34,28,1,1,80.0,144.0,34.0,-1,7,125,41758.0,557.0,396.0,205.0,710.0,584.15,41217.0,27341.0,11500000.0,7000000.0,44.0,23.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,38370.0,2.0,0.0
新北市三峽區中埔里,新北市,三峽區,中埔里,3396,97.1,4679.14,31.07,20.22,10.85,53.63,524,2591,281,9,113,729,291,1008,490,222,2,8,1021.0,1393.0,294.0,11,68,1258,501094.0,561.0,375.0,189.0,725.0,569.26,496820.0,406554.0,11500000.0,7000000.0,50.0,23.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1387444.0,2.0,1.0
新北市三峽區中正里,新北市,三峽區,中正里,5508,101.39,5540.58,29.11,16.08,13.03,81.05,686,4266,556,12,152,1157,455,1610,916,465,7,48,1757.0,2213.0,521.0,15,-25,1782,674645.0,496.0,343.0,177.0,637.0,527.75,670064.0,551126.0,11500000.0,7000000.0,42.0,23.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1477467.0,1.0,1.0
新北市三峽區二鬮里,新北市,三峽區,二鬮里,3768,102.47,1876.16,28.47,14.42,14.05,97.4,423,2933,412,9,136,813,347,1175,578,263,4,20,1200.0,1514.0,399.0,8,11,1361,498712.0,524.0,353.0,156.0,636.0,700.02,497296.0,396745.0,11500000.0,7000000.0,46.0,22.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6382624.0,0.0,0.0
新北市三峽區五寮里,新北市,三峽區,五寮里,915,118.9,64.92,45.01,11.41,33.6,294.44,72,631,212,1,10,116,36,297,190,158,3,32,255.0,408.0,80.0,-8,-27,369,57311.0,441.0,301.0,153.0,490.0,576.91,56968.0,39291.0,11500000.0,7000000.0,39.0,21.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13730198.0,0.0,1.0
新北市三峽區介壽里,新北市,三峽區,介壽里,7114,104.96,2004.08,26.34,14.69,11.65,79.32,827,5631,656,16,188,1534,587,2242,1182,502,6,30,2327.0,2729.0,869.0,35,-12,2715,774650.0,460.0,332.0,175.0,600.0,450.08,768221.0,609535.0,11500000.0,7000000.0,42.0,23.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2511198.0,1.0,1.0
新北市三峽區八張里,新北市,三峽區,八張里,4290,98.06,12304.6,33.73,18.89,14.84,78.55,606,3208,476,8,150,894,390,1275,627,308,14,18,1306.0,1750.0,374.0,-1,36,1548,610712.0,551.0,376.0,190.0,677.0,722.88,610708.0,481330.0,11500000.0,7000000.0,46.0,23.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,120010.0,2.0,0.0
新北市三峽區嘉添里,新北市,三峽區,嘉添里,2426,132.38,372.3,50.12,12.75,37.38,293.2,206,1616,604,4,65,414,192,710,461,337,9,28,775.0,1021.0,267.0,-40,-27,787,293940.0,558.0,337.0,169.0,660.0,846.25,291803.0,203145.0,11500000.0,7000000.0,41.0,23.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6564512.0,0.0,2.0
新北市三峽區大埔里,新北市,三峽區,大埔里,4302,112.65,589.63,33.11,15.53,17.57,113.15,502,3232,568,27,143,820,361,1238,740,420,10,41,1274.0,1821.0,397.0,-17,34,1475,602227.0,556.0,401.0,188.0,778.0,521.86,598077.0,479238.0,11500000.0,7000000.0,46.0,23.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,4280737.0,0.0,2.0
新北市三峽區安坑里,新北市,三峽區,安坑里,1501,125.38,79.18,41.07,12.97,28.1,216.67,138,1064,299,2,16,226,81,392,348,230,10,58,446.0,669.0,121.0,-14,-17,590,134984.0,479.0,324.0,170.0,587.0,492.45,145594.0,94825.0,11500000.0,7000000.0,30.0,25.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20833177.0,0.0,1.0
