,V_ID,107|c_,107|j_,107|ht_,107|s_,107|cs_,107|e_,107|kmeans_3,107|kmeans_7,107|kmeans_13
0,65000090-001,1,1,9,0,3,0,1,1,10
1,65000090-004,1,1,9,0,3,0,1,1,10
2,65000090-025,1,2,3,0,3,0,1,1,10
3,65000090-026,1,2,10,1,0,0,1,0,6
4,65000090-014,1,1,10,1,0,0,1,0,6
5,65000090-023,1,2,3,0,8,0,1,1,10
6,65000090-003,1,2,9,0,3,0,1,1,10
7,65000090-011,1,1,10,1,4,0,1,0,4
8,65000090-010,1,2,10,0,3,0,1,1,10
9,65000090-021,1,1,10,2,4,0,1,0,4
10,65000090-024,0,2,9,0,3,0,1,1,10
11,65000090-005,1,1,10,1,4,0,1,0,4
12,65000090-020,1,1,10,1,4,0,1,0,4
13,65000090-015,1,1,10,1,4,0,1,0,4
14,65000090-016,1,1,10,2,4,0,1,0,4
15,65000090-006,1,2,10,2,0,1,0,0,6
16,65000090-012,1,1,10,1,3,0,1,1,4
17,65000090-017,1,1,10,0,0,2,1,0,6
18,65000090-018,1,1,3,0,4,0,1,1,10
19,65000090-019,1,1,10,1,4,0,1,0,4
20,65000090-007,1,2,9,0,3,0,1,1,10
21,65000090-002,1,1,9,0,3,0,1,1,10
22,65000090-022,1,1,10,1,4,0,1,0,4
23,65000090-013,1,1,10,1,0,0,1,0,6
24,65000090-008,1,2,3,0,3,2,1,1,10
25,65000090-009,1,2,9,0,3,0,1,1,10
26,65000090-027,0,0,3,0,4,0,1,1,10
27,65000090-028,0,0,3,0,3,0,1,1,10
28,65000210-001,1,1,10,2,0,0,1,0,6
29,65000210-003,1,1,6,0,4,2,1,1,10
30,65000210-011,1,1,13,2,0,0,1,0,6
31,65000210-005,1,2,6,0,3,0,1,1,10
32,65000210-002,1,2,3,0,3,0,1,1,10
33,65000210-012,1,1,7,2,4,0,1,0,4
34,65000210-009,1,1,10,1,0,2,1,0,6
35,65000210-004,1,1,4,0,3,2,1,1,10
36,65000210-007,1,1,4,2,4,0,1,0,4
37,65000210-010,1,1,3,0,0,0,1,0,6
38,65000210-013,1,1,7,2,4,0,1,0,4
39,65000210-006,1,1,6,0,0,0,1,0,6
40,65000210-008,1,1,3,0,0,2,1,0,6
41,65000020-072,0,1,9,1,5,1,0,2,12
42,65000020-019,0,1,7,1,8,1,0,2,12
43,65000020-052,0,1,7,1,12,1,0,2,12
44,65000020-041,1,1,7,1,9,1,0,2,12
45,65000020-026,0,1,7,1,0,0,0,2,12
46,65000020-029,0,1,7,1,9,1,0,2,12
47,65000020-005,1,1,9,1,9,0,0,2,12
48,65000020-002,1,1,0,1,3,0,1,1,4
49,65000020-095,1,2,7,1,0,1,0,2,12
50,65000020-096,0,1,0,1,0,1,0,2,12
51,65000020-104,0,2,0,1,8,1,0,2,12
52,65000020-109,1,1,3,1,9,0,0,2,12
53,65000020-119,0,2,0,1,0,1,0,2,12
54,65000020-032,0,1,7,1,14,1,0,2,12
55,65000020-097,0,1,0,1,0,1,0,2,12
56,65000020-034,0,1,7,1,0,1,0,2,12
57,65000020-118,0,1,0,1,14,1,0,2,12
58,65000020-065,0,1,7,1,5,1,0,2,12
59,65000020-074,0,1,9,1,5,1,0,2,12
60,65000020-020,0,2,7,1,9,1,0,2,12
61,65000020-035,0,1,7,1,9,1,0,2,12
62,65000020-021,1,1,7,1,0,1,0,2,12
63,65000020-013,0,1,7,1,0,1,0,2,12
64,65000020-057,0,1,7,1,5,1,0,2,12
65,65000020-036,1,1,7,1,9,0,0,2,12
66,65000020-014,0,2,7,1,12,0,0,2,12
67,65000020-077,0,1,9,1,8,1,0,2,12
68,65000020-078,0,2,7,1,8,1,0,2,12
69,65000020-110,0,2,0,1,8,1,0,2,12
70,65000020-083,0,1,7,1,12,1,0,2,12
71,65000020-027,0,1,7,1,9,1,0,2,12
72,65000020-022,1,1,7,1,0,0,0,2,12
73,65000020-023,1,1,7,1,0,0,1,0,6
74,65000020-043,0,1,7,1,9,1,0,2,12
75,65000020-086,0,1,7,1,12,1,0,2,12
76,65000020-028,0,1,7,1,9,0,0,2,12
77,65000020-042,0,1,7,1,0,1,0,2,12
78,65000020-031,0,1,7,1,0,1,0,2,12
79,65000020-060,0,1,7,0,5,1,0,2,12
80,65000020-001,1,2,0,1,3,1,1,5,0
81,65000020-071,1,1,7,1,5,1,0,2,12
82,65000020-075,0,1,9,1,5,1,0,2,12
83,65000020-107,0,1,0,1,8,1,0,2,12
84,65000020-106,0,1,0,1,8,1,0,2,12
85,65000020-105,1,1,0,1,8,0,1,2,6
86,65000020-085,0,1,7,1,5,1,0,2,12
87,65000020-082,0,2,7,1,5,1,0,2,12
88,65000020-030,0,1,7,1,9,1,0,2,12
89,65000020-076,0,2,9,1,8,1,0,2,12
90,65000020-006,1,1,7,1,0,0,0,2,12
91,65000020-033,0,1,7,1,0,1,0,2,12
92,65000020-102,0,1,0,1,8,1,0,2,12
93,65000020-100,0,1,0,1,12,1,0,2,12
94,65000020-101,0,1,0,1,14,1,0,2,12
95,65000020-099,0,1,0,1,14,1,0,2,12
96,65000020-103,0,2,0,1,12,1,0,2,12
97,65000020-098,0,1,0,1,14,1,0,2,12
98,65000020-007,1,2,7,1,0,1,0,2,12
99,65000020-080,1,1,3,1,12,1,0,2,12
100,65000020-051,0,1,7,1,5,1,0,2,12
101,65000020-049,0,1,7,1,5,1,0,2,12
102,65000020-047,0,1,7,1,9,1,0,2,12
103,65000020-048,0,1,7,1,14,1,0,2,12
104,65000020-045,0,2,7,1,0,0,1,0,6
105,65000020-112,0,1,0,1,5,1,0,2,12
106,65000020-091,0,2,0,1,5,1,0,2,12
107,65000020-087,0,2,7,1,5,1,0,2,12
108,65000020-025,0,1,7,1,9,1,0,2,12
109,65000020-090,0,2,0,1,14,1,0,2,12
110,65000020-092,0,1,0,1,12,1,0,2,12
111,65000020-113,0,2,0,1,8,1,0,2,12
112,65000020-088,0,1,0,1,14,1,0,2,12
113,65000020-089,0,2,0,1,14,1,0,2,12
114,65000020-040,1,1,7,0,9,1,0,2,12
115,65000020-115,0,2,0,1,12,1,0,2,12
116,65000020-114,0,2,0,1,12,1,0,2,12
117,65000020-039,1,1,7,1,9,1,0,2,12
118,65000020-093,0,2,7,1,12,1,0,2,12
119,65000020-081,0,1,7,1,12,1,0,2,12
120,65000020-017,0,2,7,1,8,1,0,2,12
121,65000020-018,0,2,7,1,8,1,0,2,12
122,65000020-015,0,2,7,1,8,1,0,2,12
123,65000020-108,0,0,0,1,12,1,0,2,12
124,65000020-038,1,1,7,1,9,0,0,2,12
125,65000020-073,0,1,9,1,5,1,0,2,12
126,65000020-111,0,1,7,1,0,1,0,2,12
127,65000020-037,0,1,7,1,0,1,0,2,12
128,65000020-117,0,1,0,1,14,1,0,2,12
129,65000020-009,0,1,7,1,0,1,0,2,12
130,65000020-016,0,1,0,1,8,1,0,2,12
131,65000020-008,0,1,7,1,9,1,0,2,12
132,65000020-094,0,1,7,1,5,1,0,2,12
133,65000020-070,0,1,7,1,5,1,0,2,12
134,65000020-116,0,1,9,1,8,1,0,2,12
135,65000020-084,0,1,7,1,12,1,0,2,12
136,65000020-050,0,1,9,1,5,1,0,2,12
137,65000020-024,0,1,7,1,9,1,0,2,12
138,65000020-066,0,1,7,1,12,1,0,2,12
139,65000020-004,1,1,7,1,0,0,0,2,12
140,65000020-010,0,2,7,1,9,1,0,2,12
141,65000020-046,0,1,7,1,14,1,0,2,12
142,65000020-012,0,1,7,1,9,0,0,2,12
143,65000020-044,0,1,7,1,9,0,0,2,12
144,65000020-055,0,1,7,1,14,1,0,2,12
145,65000020-067,0,1,3,1,8,1,0,2,12
146,65000020-011,0,1,7,1,0,1,0,2,12
147,65000020-054,0,1,7,1,0,1,0,2,12
148,65000020-061,0,1,3,1,12,1,0,2,12
149,65000020-056,0,1,9,1,14,1,0,2,12
150,65000020-062,1,1,3,1,12,1,0,2,12
151,65000020-063,0,1,3,1,14,1,0,2,12
152,65000020-058,0,1,7,1,14,1,0,2,12
153,65000020-064,1,1,3,1,8,1,0,2,12
154,65000020-059,1,1,7,0,12,0,0,2,12
155,65000020-053,0,1,9,1,5,1,0,2,12
156,65000020-003,1,1,7,0,0,1,0,2,6
157,65000020-079,0,1,7,1,8,1,0,2,12
158,65000020-068,1,1,3,1,12,1,0,2,12
159,65000020-069,0,1,7,1,5,1,0,2,12
160,65000030-001,1,2,3,1,4,2,1,0,3
161,65000030-023,0,0,9,1,6,0,2,4,11
162,65000030-083,0,1,3,1,11,1,1,5,0
163,65000030-005,0,1,3,1,11,1,1,5,0
164,65000030-081,0,0,3,1,0,0,0,0,6
165,65000030-004,0,1,3,1,11,0,1,5,4
166,65000030-019,0,1,3,1,3,0,1,1,4
167,65000030-003,0,2,10,1,11,1,1,5,0
168,65000030-042,1,2,3,2,8,0,1,0,6
169,65000030-090,0,1,4,0,8,1,0,6,5
170,65000030-009,0,1,3,1,3,0,1,1,4
171,65000030-026,0,0,3,1,6,1,0,5,0
172,65000030-082,0,1,10,1,14,1,0,2,12
173,65000030-046,0,1,3,1,7,1,0,5,0
174,65000030-088,1,1,4,0,10,1,0,5,0
175,65000030-057,0,2,4,0,0,1,0,6,6
176,65000030-089,1,2,13,1,3,0,1,1,4
177,65000030-060,1,2,13,1,3,0,1,1,4
178,65000030-058,1,1,13,1,3,0,1,1,4
179,65000030-069,0,1,8,0,8,1,0,6,5
180,65000030-091,0,1,8,0,8,1,0,6,5
181,65000030-043,1,1,10,1,5,0,0,2,12
182,65000030-070,0,1,8,0,3,0,1,1,10
183,65000030-044,0,2,3,1,14,0,0,2,12
184,65000030-021,0,1,3,1,0,1,0,2,12
185,65000030-022,0,0,3,1,5,0,0,2,12
186,65000030-020,0,0,9,1,7,0,0,4,11
187,65000030-062,0,2,10,1,3,1,1,5,0
188,65000030-075,0,1,3,1,0,1,0,2,12
189,65000030-074,0,1,3,1,0,1,0,2,12
190,65000030-039,0,1,10,0,1,0,1,1,10
191,65000030-002,0,2,3,1,11,1,1,5,0
192,65000030-012,0,1,3,1,3,0,1,1,4
193,65000030-006,0,1,3,1,11,1,1,5,0
194,65000030-045,0,2,3,1,9,1,0,2,12
195,65000030-067,0,1,4,0,8,0,1,1,10
196,65000030-073,0,0,3,1,8,0,1,0,6
197,65000030-038,0,2,10,0,5,0,0,4,11
198,65000030-059,0,2,10,1,11,1,1,5,0
199,65000030-025,0,0,3,1,10,0,1,0,4
200,65000030-071,0,1,8,0,8,0,1,1,10
201,65000030-064,1,1,4,1,8,0,1,0,6
202,65000030-040,1,1,10,0,10,0,1,1,11
203,65000030-050,0,1,3,1,14,0,0,2,12
204,65000030-047,0,1,3,1,14,0,0,2,11
205,65000030-051,0,1,3,1,6,1,0,5,0
206,65000030-048,0,1,10,1,5,1,0,2,12
207,65000030-079,0,1,10,1,9,1,0,2,12
208,65000030-049,0,1,10,1,14,1,0,2,12
209,65000030-036,0,1,10,0,6,0,2,4,11
210,65000030-010,0,1,3,1,1,0,1,5,4
211,65000030-041,1,1,3,2,0,0,1,0,6
212,65000030-092,0,1,10,0,12,1,0,6,5
213,65000030-093,0,1,3,1,4,0,1,0,4
214,65000030-056,0,1,4,1,8,1,0,5,0
215,65000030-061,0,2,13,1,3,0,1,1,4
216,65000030-087,0,1,4,0,8,1,0,6,5
217,65000030-068,0,1,8,0,0,1,0,6,6
218,65000030-024,0,1,3,1,12,1,0,2,12
219,65000030-065,0,1,8,0,8,0,1,1,10
220,65000030-011,0,1,3,1,1,0,1,5,4
221,65000030-054,1,1,10,2,0,1,0,0,6
222,65000030-063,0,1,4,0,0,1,0,6,6
223,65000030-017,0,2,10,2,0,1,0,0,6
224,65000030-084,1,1,3,1,11,1,0,5,0
225,65000030-080,0,1,10,2,5,0,0,2,12
226,65000030-018,0,1,3,1,3,0,1,1,4
227,65000030-014,0,1,10,1,4,0,1,0,4
228,65000030-013,0,2,3,1,0,1,0,0,6
229,65000030-016,0,2,10,1,3,0,1,1,4
230,65000030-015,0,2,3,1,3,0,1,1,4
231,65000030-033,0,1,3,1,10,0,1,0,4
232,65000030-077,0,1,10,1,0,1,0,0,6
233,65000030-027,0,1,10,1,10,0,1,0,4
234,65000030-032,0,1,0,0,10,0,1,1,11
235,65000030-028,0,1,0,1,4,0,1,0,4
236,65000030-031,0,1,3,1,4,1,1,5,0
237,65000030-030,1,2,9,0,4,2,1,1,10
238,65000030-072,0,1,0,1,10,1,0,5,0
239,65000030-029,0,1,10,1,4,0,1,0,4
240,65000030-076,0,1,10,1,4,1,1,5,0
241,65000030-055,0,2,13,1,3,0,1,1,4
242,65000030-066,0,2,8,0,8,0,1,1,10
243,65000030-078,0,1,10,0,5,1,0,6,5
244,65000030-037,0,1,10,0,3,0,1,1,10
245,65000030-035,0,2,10,0,8,0,1,1,10
246,65000030-007,1,1,3,1,4,0,1,0,4
247,65000030-008,0,2,3,1,4,0,1,0,4
248,65000030-085,1,1,3,1,11,0,1,1,4
249,65000030-052,1,2,3,1,11,0,1,1,4
250,65000030-053,1,1,3,1,11,0,1,1,4
251,65000030-086,0,1,3,1,11,0,1,5,4
252,65000030-034,0,1,10,2,8,0,1,0,6
253,65000150-009,1,1,0,0,3,0,1,1,10
