,V_ID,GM_4,GM_7,kmeans_7
0,65000090-001,3,5,4
1,65000090-004,3,5,4
2,65000090-025,3,5,4
3,65000090-026,3,5,5
4,65000090-014,3,5,5
5,65000090-023,3,5,4
6,65000090-003,3,5,4
7,65000090-011,3,5,5
8,65000090-010,3,5,4
9,65000090-021,2,2,5
10,65000090-024,3,5,4
11,65000090-005,3,5,5
12,65000090-020,3,5,5
13,65000090-015,3,5,5
14,65000090-016,2,2,5
15,65000090-006,2,2,5
16,65000090-012,3,5,6
17,65000090-017,3,3,5
18,65000090-018,3,5,5
19,65000090-019,3,5,5
20,65000090-007,3,5,4
21,65000090-002,3,5,4
22,65000090-022,3,5,5
23,65000090-013,3,5,5
24,65000090-008,3,3,4
25,65000090-009,3,5,4
26,65000090-027,3,5,5
27,65000090-028,3,5,4
28,65000210-001,2,2,5
29,65000210-003,2,3,5
30,65000210-011,2,2,5
31,65000210-005,2,2,4
32,65000210-002,2,2,4
33,65000210-012,2,2,5
34,65000210-009,2,3,5
35,65000210-004,2,3,4
36,65000210-007,2,2,5
37,65000210-010,2,2,5
38,65000210-013,2,2,5
39,65000210-006,2,2,5
40,65000210-008,2,3,5
41,65000020-072,1,4,3
42,65000020-019,2,4,3
43,65000020-052,1,4,3
44,65000020-041,1,4,3
45,65000020-026,1,4,3
46,65000020-029,1,4,3
47,65000020-005,1,4,3
48,65000020-002,2,4,6
49,65000020-095,2,4,5
50,65000020-096,2,4,3
51,65000020-104,2,4,3
52,65000020-109,1,4,3
53,65000020-119,2,4,3
54,65000020-032,1,4,3
55,65000020-097,2,4,3
56,65000020-034,1,4,3
57,65000020-118,1,4,3
58,65000020-065,1,4,3
59,65000020-074,1,4,3
60,65000020-020,1,4,3
61,65000020-035,1,4,3
62,65000020-021,1,4,3
63,65000020-013,1,4,3
64,65000020-057,1,4,3
65,65000020-036,1,4,3
66,65000020-014,1,4,3
67,65000020-077,2,4,3
68,65000020-078,2,4,6
69,65000020-110,2,4,3
70,65000020-083,1,4,3
71,65000020-027,1,4,3
72,65000020-022,1,4,3
73,65000020-023,2,4,3
74,65000020-043,1,4,3
75,65000020-086,1,4,3
76,65000020-028,1,4,3
77,65000020-042,1,4,3
78,65000020-031,1,4,3
79,65000020-060,1,4,3
80,65000020-001,2,4,6
81,65000020-071,1,4,3
82,65000020-075,1,4,3
83,65000020-107,2,4,6
84,65000020-106,2,4,3
85,65000020-105,2,4,6
86,65000020-085,1,4,3
87,65000020-082,1,4,3
88,65000020-030,1,4,3
89,65000020-076,2,4,6
90,65000020-006,1,4,3
91,65000020-033,1,4,3
92,65000020-102,2,4,6
93,65000020-100,1,4,3
94,65000020-101,1,4,3
95,65000020-099,1,4,3
96,65000020-103,1,4,3
97,65000020-098,1,4,3
98,65000020-007,1,4,3
99,65000020-080,1,4,3
100,65000020-051,1,4,3
101,65000020-049,1,4,3
102,65000020-047,1,4,3
103,65000020-048,1,4,3
104,65000020-045,2,4,5
105,65000020-112,1,4,3
106,65000020-091,1,4,3
107,65000020-087,1,4,3
108,65000020-025,1,4,3
109,65000020-090,1,4,3
110,65000020-092,1,4,3
111,65000020-113,2,4,3
112,65000020-088,1,4,3
113,65000020-089,1,4,3
114,65000020-040,1,4,3
115,65000020-115,1,4,3
116,65000020-114,1,4,3
117,65000020-039,1,4,3
118,65000020-093,1,4,3
119,65000020-081,1,4,3
120,65000020-017,2,4,3
121,65000020-018,2,4,3
122,65000020-015,2,4,6
123,65000020-108,1,4,3
124,65000020-038,1,4,3
125,65000020-073,1,4,3
126,65000020-111,1,4,3
127,65000020-037,1,4,3
128,65000020-117,1,4,3
129,65000020-009,2,4,3
130,65000020-016,2,4,3
131,65000020-008,1,4,3
132,65000020-094,1,4,3
133,65000020-070,1,4,3
134,65000020-116,2,4,3
135,65000020-084,1,4,3
136,65000020-050,1,4,3
137,65000020-024,1,4,3
138,65000020-066,1,4,3
139,65000020-004,1,4,3
140,65000020-010,1,4,3
141,65000020-046,1,4,3
142,65000020-012,1,4,3
143,65000020-044,1,4,3
144,65000020-055,1,4,3
145,65000020-067,2,4,3
146,65000020-011,1,4,3
147,65000020-054,1,4,3
148,65000020-061,1,4,3
149,65000020-056,1,4,3
150,65000020-062,1,4,3
151,65000020-063,1,4,3
152,65000020-058,1,4,3
153,65000020-064,2,4,3
154,65000020-059,1,4,3
155,65000020-053,1,4,3
156,65000020-003,2,4,5
157,65000020-079,2,4,3
158,65000020-068,1,4,3
159,65000020-069,1,4,3
160,65000030-001,1,1,2
161,65000030-023,1,4,2
