,V_ID,kmeans15,kmeans42,kmeans15Nocity,kmeans15NocityWithCounty,kmeans9,kmeans10
0,65000090-001,0,41,10,10,0,0
1,65000090-004,0,26,8,8,8,8
2,65000090-025,0,26,8,8,8,8
3,65000090-026,4,16,0,0,3,3
4,65000090-014,8,15,7,7,6,6
5,65000090-023,7,9,9,9,8,8
6,65000090-003,0,14,10,10,0,0
7,65000090-011,4,16,0,0,3,3
8,65000090-010,7,6,13,13,5,5
9,65000090-021,3,23,5,5,9,9
10,65000090-024,0,40,10,10,0,0
11,65000090-005,4,29,0,0,3,3
12,65000090-020,7,31,9,9,5,5
13,65000090-015,8,15,7,7,6,6
14,65000090-016,2,12,12,12,7,7
15,65000090-006,0,41,10,10,0,0
16,65000090-012,7,31,9,9,5,5
17,65000090-017,0,26,8,8,8,8
18,65000090-018,7,6,13,13,5,5
19,65000090-019,7,9,8,8,8,8
20,65000090-007,0,40,1,1,0,0
21,65000090-002,0,41,10,10,0,0
22,65000090-022,3,7,5,5,9,9
23,65000090-013,8,25,11,11,6,6
24,65000090-008,4,36,13,13,5,5
25,65000090-009,7,33,8,8,8,8
26,65000090-027,0,40,10,10,0,0
27,65000090-028,0,11,1,1,8,8
28,65000210-001,0,26,8,8,8,8
29,65000210-003,7,39,9,9,5,5
30,65000210-011,3,22,14,14,9,9
31,65000210-005,7,31,9,9,5,5
32,65000210-002,0,37,1,1,0,0
33,65000210-012,4,16,0,0,3,3
34,65000210-009,4,29,0,0,3,3
35,65000210-004,7,31,9,9,5,5
36,65000210-007,4,16,0,0,3,3
37,65000210-010,7,39,9,9,5,5
38,65000210-013,4,16,0,0,3,3
39,65000210-006,7,18,9,9,5,5
40,65000210-008,4,20,13,13,5,5
41,65000020-072,0,41,10,10,0,0
42,65000020-019,0,41,10,10,0,0
43,65000020-052,0,41,10,10,0,0
44,65000020-041,0,14,10,10,0,0
45,65000020-026,0,41,10,10,0,0
46,65000020-029,0,41,10,10,0,0
47,65000020-005,0,24,1,1,0,0
48,65000020-002,0,32,10,10,0,0
49,65000020-095,0,0,10,10,0,0
50,65000020-096,0,14,10,10,0,0
51,65000020-104,0,41,10,10,0,0
52,65000020-109,0,0,10,10,0,0
53,65000020-119,0,41,10,10,0,0
54,65000020-032,0,41,10,10,0,0
55,65000020-097,0,41,10,10,0,0
56,65000020-034,0,41,10,10,0,0
57,65000020-118,0,14,10,10,0,0
58,65000020-065,0,41,10,10,0,0
59,65000020-074,0,41,10,10,0,0
60,65000020-020,0,0,10,10,0,0
61,65000020-035,0,41,10,10,0,0
62,65000020-021,0,41,10,10,0,0
63,65000020-013,0,14,10,10,0,0
64,65000020-057,0,41,10,10,0,0
65,65000020-036,0,41,10,10,0,0
66,65000020-014,0,14,10,10,0,0
67,65000020-077,0,14,10,10,0,0
68,65000020-078,0,14,10,10,0,0
69,65000020-110,0,14,10,10,0,0
70,65000020-083,0,41,10,10,0,0
71,65000020-027,0,41,10,10,0,0
72,65000020-022,0,41,10,10,0,0
73,65000020-023,0,41,10,10,0,0
74,65000020-043,0,41,10,10,0,0
75,65000020-086,0,32,10,10,0,0
76,65000020-028,0,41,10,10,0,0
77,65000020-042,0,41,10,10,0,0
78,65000020-031,0,41,10,10,0,0
79,65000020-060,0,41,10,10,0,0
80,65000020-001,0,0,10,10,0,0
81,65000020-071,0,14,10,10,0,0
82,65000020-075,0,41,10,10,0,0
83,65000020-107,0,41,10,10,0,0
84,65000020-106,0,41,10,10,0,0
85,65000020-105,0,40,1,1,0,0
86,65000020-085,0,14,10,10,0,0
87,65000020-082,0,14,10,10,0,0
88,65000020-030,0,41,10,10,0,0
89,65000020-076,0,32,10,10,0,0
90,65000020-006,0,14,10,10,0,0
91,65000020-033,0,41,10,10,0,0
92,65000020-102,0,41,10,10,0,0
93,65000020-100,0,41,10,10,0,0
94,65000020-101,0,41,10,10,0,0
95,65000020-099,0,41,10,10,0,0
96,65000020-103,0,14,10,10,0,0
97,65000020-098,0,41,10,10,0,0
98,65000020-007,0,32,10,10,0,0
99,65000020-080,0,41,10,10,0,0
100,65000020-051,0,41,10,10,0,0
101,65000020-049,0,41,10,10,0,0
102,65000020-047,0,41,10,10,0,0
103,65000020-048,0,41,10,10,0,0
104,65000020-045,0,41,10,10,0,0
105,65000020-112,0,41,10,10,0,0
106,65000020-091,0,41,10,10,0,0
107,65000020-087,0,14,10,10,0,0
108,65000020-025,0,41,10,10,0,0
109,65000020-090,0,41,10,10,0,0
110,65000020-092,0,41,10,10,0,0
111,65000020-113,0,0,10,10,0,0
112,65000020-088,0,41,10,10,0,0
113,65000020-089,0,14,10,10,0,0
114,65000020-040,0,41,10,10,0,0
115,65000020-115,0,14,10,10,0,0
116,65000020-114,0,41,10,10,0,0
117,65000020-039,0,41,10,10,0,0
118,65000020-093,0,32,10,10,0,0
119,65000020-081,0,41,10,10,0,0
120,65000020-017,0,14,10,10,0,0
121,65000020-018,0,14,10,10,0,0
122,65000020-015,0,14,10,10,0,0
123,65000020-108,0,0,10,10,0,0
124,65000020-038,0,41,10,10,0,0
125,65000020-073,0,41,10,10,0,0
126,65000020-111,0,14,10,10,0,0
127,65000020-037,0,41,10,10,0,0
128,65000020-117,0,41,10,10,0,0
129,65000020-009,0,41,10,10,0,0
130,65000020-016,0,41,10,10,0,0
131,65000020-008,0,32,10,10,0,0
132,65000020-094,0,14,10,10,0,0
133,65000020-070,0,41,10,10,0,0
134,65000020-116,0,14,10,10,0,0
135,65000020-084,0,41,10,10,0,0
136,65000020-050,0,41,10,10,0,0
137,65000020-024,0,41,10,10,0,0
138,65000020-066,0,41,10,10,0,0
139,65000020-004,0,0,10,10,0,0
140,65000020-010,0,14,10,10,0,0
141,65000020-046,0,41,10,10,0,0
142,65000020-012,0,14,10,10,0,0
143,65000020-044,0,14,10,10,0,0
144,65000020-055,0,41,10,10,0,0
145,65000020-067,0,41,10,10,0,0
146,65000020-011,0,41,10,10,0,0
147,65000020-054,0,41,10,10,0,0
148,65000020-061,0,41,10,10,0,0
149,65000020-056,0,41,10,10,0,0
150,65000020-062,0,41,10,10,0,0
151,65000020-063,0,41,10,10,0,0
152,65000020-058,0,41,10,10,0,0
153,65000020-064,0,41,10,10,0,0
154,65000020-059,0,41,10,10,0,0
155,65000020-053,0,41,10,10,0,0
156,65000020-003,0,24,1,1,0,0
157,65000020-079,0,41,10,10,0,0
158,65000020-068,0,41,10,10,0,0
159,65000020-069,0,41,10,10,0,0
