Region,County Name,Township Name,Village Name,c_Population,c_Sex Ratio,c_Population Density,c_Dependency Ratio,c_Child Dependency Ratio,c_Elderly Dependency Ratio,c_Aging Index,c_Population aged 0-14,c_Population aged 15-64,c_Population aged 65 and above,j_15 with Doctorate Degree,j_15 with Master Degree,j_15 with University Education,j_15 with Vocational Education,j_15 with Senior High School Education,j_15 with Junior High School Education,j_15 with Elementary School Education,j_15 with Self-Taught Education,j_15 who are Illiterate,c_15 who are Unmarried,c_15 who are Married,c_15 who are Divorced,c_Natural Increase,c_Social Increase,c_Total Number of Households,ji_Total Comprehensive Income,ji_Average Comprehensive Income,ji_Median Comprehensive Income,ji_Comprehensive Income Q1,ji_Comprehensive Income Q3,ji_Comprehensive Income std,ji_Total Amount of Various Types of Income,ji_Income from Wages and Salaries,Median Housing Price with parking space,Median Housing Price no parking space,NO2,PM2.5,water,109green,m109300,m109300s,m109500,m109500s,fire,police,primary,secondary,gym,area,multiHospital,Shelter
新北市三峽區三峽里,新北市,三峽區,三峽里,333,134.51,10386.77,57.82,20.85,36.97,177.27,44,211,78,0,18,69,44,97,33,26,1,1,85,145,35,-2,7,126,42830.0,595.0,403.0,196.0,664.0,633.44,42830.0,27010.0,12000000.0,6600000.0,21.0,79.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,38370.0,2.0,0.0
新北市三峽區中埔里,新北市,三峽區,中埔里,3649,95.66,5027.74,32.45,20.65,11.8,57.12,569,2755,325,8,134,828,302,1056,525,216,2,9,1067,1520,320,17,236,1364,636028.0,642.0,402.0,203.0,759.0,1762.63,636028.0,512099.0,12000000.0,6600000.0,21.0,79.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1387444.0,2.0,1.0
新北市三峽區中正里,新北市,三峽區,中正里,5500,101.61,5532.54,29.2,15.25,13.95,91.53,649,4257,594,12,160,1189,457,1605,920,459,7,42,1780,2214,522,9,-17,1806,682256.0,499.0,345.0,181.0,632.0,534.9,682256.0,559584.0,12000000.0,6600000.0,21.0,82.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1477467.0,1.0,1.0
新北市三峽區二鬮里,新北市,三峽區,二鬮里,3749,101.88,1866.7,29.9,13.83,16.08,116.29,399,2886,464,10,137,830,328,1175,590,258,4,18,1189,1534,405,8,-27,1384,496068.0,507.0,353.0,164.0,648.0,586.69,496081.0,404790.0,12000000.0,6600000.0,20.0,86.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6382624.0,0.0,0.0
新北市三峽區五寮里,新北市,三峽區,五寮里,898,118.49,63.71,44.61,10.79,33.82,313.43,67,621,210,1,7,123,42,289,190,149,3,27,251,397,86,-15,-2,365,60959.0,401.0,286.0,144.0,479.0,491.86,60959.0,42922.0,12000000.0,6600000.0,21.0,90.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13730198.0,0.0,1.0
新北市三峽區介壽里,新北市,三峽區,介壽里,7078,103.68,1993.93,27.03,14.32,12.71,88.72,798,5572,708,18,193,1560,588,2206,1190,491,6,28,2301,2730,889,-3,-33,2765,804617.0,466.0,330.0,166.0,601.0,538.54,804617.0,628488.0,12000000.0,6600000.0,22.0,83.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2511198.0,1.0,1.0
新北市三峽區八張里,新北市,三峽區,八張里,4267,99.39,12238.63,35.12,19.09,16.02,83.91,603,3158,506,8,149,926,389,1243,623,294,14,18,1282,1750,387,-1,-22,1542,594728.0,534.0,366.0,178.0,678.0,622.64,594728.0,480721.0,12000000.0,6600000.0,21.0,79.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,120010.0,2.0,0.0
新北市三峽區嘉添里,新北市,三峽區,嘉添里,2406,131.35,369.23,48.79,11.94,36.86,308.81,193,1617,596,6,72,438,201,702,444,318,6,26,794,1004,269,-46,26,811,310640.0,567.0,343.0,175.0,664.0,814.2,310640.0,214988.0,12000000.0,6600000.0,22.0,85.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6564512.0,0.0,2.0
新北市三峽區大埔里,新北市,三峽區,大埔里,4325,114.75,592.78,34.57,15.62,18.95,121.31,502,3214,609,31,155,832,367,1248,739,403,11,37,1285,1819,416,-5,28,1514,616003.0,563.0,404.0,202.0,789.0,540.49,616003.0,503896.0,12000000.0,6600000.0,21.0,85.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,4280737.0,0.0,2.0
新北市三峽區安坑里,新北市,三峽區,安坑里,1460,128.48,77.02,41.61,11.45,30.16,263.56,118,1031,311,2,15,230,78,386,343,225,10,53,440,661,114,-13,-28,578,133333.0,461.0,333.0,164.0,572.0,453.21,133333.0,94177.0,12000000.0,6600000.0,25.0,92.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20833177.0,0.0,1.0
