V_ID,105|kmeans_7,106|kmeans_7,107|kmeans_7,108|kmeans_7,109|kmeans_7,check,105to106,106to107,107to108,108to109
65000090-001,1,1,1,1,1,0,False,False,False,False
65000090-004,1,1,1,1,1,0,False,False,False,False
65000090-025,1,1,1,1,1,0,False,False,False,False
65000090-026,0,0,0,0,0,0,False,False,False,False
65000090-014,0,0,0,0,0,0,False,False,False,False
65000090-023,1,1,1,1,1,0,False,False,False,False
65000090-003,1,1,1,1,1,0,False,False,False,False
65000090-011,0,0,0,0,0,0,False,False,False,False
65000090-010,1,1,1,1,1,0,False,False,False,False
65000090-021,0,0,0,0,0,0,False,False,False,False
65000090-024,1,1,1,1,1,0,False,False,False,False
65000090-005,0,0,0,0,0,0,False,False,False,False
65000090-020,0,0,0,0,0,0,False,False,False,False
65000090-015,0,0,0,0,0,0,False,False,False,False
65000090-016,0,0,0,0,0,0,False,False,False,False
65000090-006,0,0,0,0,0,0,False,False,False,False
65000090-012,1,1,1,1,1,0,False,False,False,False
65000090-017,0,0,0,0,0,0,False,False,False,False
65000090-018,1,1,1,1,1,0,False,False,False,False
65000090-019,0,0,0,0,0,0,False,False,False,False
65000090-007,1,1,1,1,1,0,False,False,False,False
65000090-002,1,1,1,1,1,0,False,False,False,False
65000090-022,0,0,0,0,0,0,False,False,False,False
65000090-013,0,0,0,0,0,0,False,False,False,False
65000090-008,1,1,1,1,1,0,False,False,False,False
65000090-009,1,1,1,1,1,0,False,False,False,False
65000090-027,1,1,1,1,1,0,False,False,False,False
65000090-028,1,1,1,1,1,0,False,False,False,False
65000210-001,0,0,0,0,0,0,False,False,False,False
65000210-003,1,1,1,1,1,0,False,False,False,False
65000210-011,0,0,0,0,0,0,False,False,False,False
65000210-005,1,1,1,1,1,0,False,False,False,False
65000210-002,1,1,1,1,1,0,False,False,False,False
65000210-012,0,0,0,0,0,0,False,False,False,False
65000210-009,0,0,0,0,0,0,False,False,False,False
65000210-004,1,1,1,1,1,0,False,False,False,False
65000210-007,0,0,0,0,0,0,False,False,False,False
65000210-010,0,0,0,0,0,0,False,False,False,False
65000210-013,0,0,0,0,0,0,False,False,False,False
65000210-006,0,0,0,0,0,0,False,False,False,False
65000210-008,0,0,0,0,0,0,False,False,False,False
65000020-072,3,3,3,3,3,0,False,False,False,False
65000020-019,3,3,3,3,3,0,False,False,False,False
65000020-052,3,3,3,3,3,0,False,False,False,False
65000020-041,3,3,3,3,3,0,False,False,False,False
65000020-026,3,3,3,3,3,0,False,False,False,False
65000020-029,3,3,3,3,3,0,False,False,False,False
65000020-005,3,3,3,3,3,0,False,False,False,False
65000020-002,2,2,1,1,1,1,False,True,False,False
65000020-095,3,0,3,3,0,2,True,True,False,True
65000020-096,3,3,3,3,3,0,False,False,False,False
65000020-104,3,3,3,3,3,0,False,False,False,False
65000020-109,3,3,3,3,3,0,False,False,False,False
65000020-119,3,3,3,3,3,0,False,False,False,False
65000020-032,3,3,3,3,3,0,False,False,False,False
65000020-097,3,3,3,3,3,0,False,False,False,False
65000020-034,3,3,3,3,3,0,False,False,False,False
65000020-118,3,3,3,3,3,0,False,False,False,False
65000020-065,3,3,3,3,3,0,False,False,False,False
65000020-074,3,3,3,3,3,0,False,False,False,False
65000020-020,3,3,3,3,3,0,False,False,False,False
65000020-035,3,3,3,3,3,0,False,False,False,False
65000020-021,3,3,3,3,3,0,False,False,False,False
65000020-013,3,3,3,3,3,0,False,False,False,False
65000020-057,3,3,3,3,3,0,False,False,False,False
65000020-036,3,3,3,3,3,0,False,False,False,False
65000020-014,3,3,3,3,3,0,False,False,False,False
65000020-077,3,3,3,3,3,0,False,False,False,False
