V_ID,105|kmeans_6,105|kmeans_nocity_9,105|kmeans_nocity&county_7,105|c_,105|j_,105|ht_,105|s_,105|cs_,105|e_,106|kmeans_6,106|kmeans_nocity_9,106|kmeans_nocity&county_7,106|c_,106|j_,106|ht_,106|s_,106|cs_,106|e_,107|kmeans_6,107|kmeans_nocity_9,107|kmeans_nocity&county_7,107|c_,107|j_,107|ht_,107|s_,107|cs_,107|e_,108|kmeans_6,108|kmeans_nocity_9,108|kmeans_nocity&county_7,108|c_,108|j_,108|ht_,108|s_,108|cs_,108|e_,109|kmeans_6,109|kmeans_nocity_9,109|kmeans_nocity&county_7,109|c_,109|j_,109|ht_,109|s_,109|cs_,109|e_
65000090-001,5,8,4,1,1,12,0,3,0,3,1,2,1,1,7,0,1,0,0,4,3,1,1,12,0,0,0,0,4,5,0,1,8,0,2,0,1,1,2,1,2,9,0,3,0
65000090-004,5,8,4,1,1,12,0,3,0,3,1,2,1,0,7,0,1,0,0,4,3,1,0,12,0,0,0,0,4,5,0,0,8,0,2,0,1,1,2,1,1,9,0,3,0
65000090-025,5,8,4,1,2,4,0,3,0,3,1,2,1,0,11,0,1,0,0,4,3,1,0,7,0,0,0,0,4,5,0,0,3,0,2,0,1,1,2,1,1,5,0,3,0
65000090-026,2,6,5,1,2,4,1,0,0,1,8,0,1,0,4,1,5,0,3,1,4,1,0,0,1,5,0,1,6,1,0,0,13,1,6,0,5,7,4,1,1,10,1,0,0
65000090-014,2,6,5,1,1,4,1,0,0,1,8,0,1,1,4,1,5,0,3,1,4,1,1,0,1,5,0,1,6,1,0,1,13,1,6,0,5,7,4,1,2,10,1,0,0
65000090-023,5,2,4,1,2,4,0,8,0,3,1,2,1,0,11,0,14,0,0,4,3,1,0,7,0,9,0,0,4,5,0,0,3,0,13,0,1,1,2,1,1,5,0,8,0
65000090-003,5,8,4,1,2,12,0,3,0,3,1,2,1,0,7,0,1,0,0,4,3,1,0,12,0,0,0,0,4,5,0,0,8,0,2,0,1,1,2,1,1,9,0,3,0
65000090-011,2,6,6,1,1,4,1,4,0,1,4,6,1,1,8,1,4,0,3,1,4,1,1,0,1,3,0,1,0,3,0,1,13,1,0,0,5,5,4,1,2,10,1,7,0
65000090-010,5,8,4,1,2,4,0,3,0,3,1,2,1,0,8,0,1,0,0,4,3,1,0,0,0,0,0,0,4,5,0,0,13,0,2,0,1,1,2,1,1,10,0,3,0
65000090-021,2,6,6,1,1,7,2,4,0,1,4,6,1,1,4,2,4,0,3,1,4,1,1,10,2,3,0,1,0,3,0,1,13,2,0,0,5,5,4,1,2,10,2,7,0
65000090-024,5,8,4,0,2,12,0,3,0,3,1,2,0,0,7,0,1,0,0,4,3,0,0,12,0,0,0,0,4,5,1,0,8,0,2,0,1,1,2,0,1,9,0,3,0
65000090-005,2,6,6,1,1,4,1,4,0,1,4,6,1,1,4,1,4,0,3,1,4,1,1,0,1,3,0,1,0,3,0,1,13,1,0,0,5,5,4,1,2,10,1,7,0
65000090-020,2,6,6,1,1,7,1,4,0,1,4,6,1,1,8,1,4,0,3,1,4,1,1,10,1,3,0,1,0,3,0,1,13,1,0,0,5,5,4,1,2,10,1,7,0
65000090-015,2,6,6,1,1,4,1,4,0,1,4,6,1,1,4,1,4,0,3,1,4,1,1,0,1,3,0,1,0,3,0,1,13,1,0,0,5,5,4,1,2,10,1,7,0
65000090-016,2,6,6,1,1,4,2,4,0,1,4,6,1,1,4,2,4,0,3,1,4,1,1,0,2,3,0,1,0,3,0,1,13,2,0,0,5,5,4,1,2,10,2,7,0
65000090-006,2,6,5,1,2,6,2,0,1,1,8,0,1,0,4,2,5,1,3,1,5,1,0,0,2,5,1,1,6,1,0,0,13,2,6,1,5,7,4,1,1,10,2,0,1
65000090-012,5,1,1,1,1,4,1,3,0,3,4,6,1,1,8,1,1,0,0,3,4,1,1,0,1,0,0,1,7,3,0,1,13,1,2,0,5,3,0,1,2,10,1,3,0
65000090-017,2,2,5,1,1,7,0,0,2,1,8,0,1,1,8,0,5,2,3,1,0,1,1,10,0,5,2,0,6,1,0,1,13,0,6,2,1,7,4,1,2,10,0,0,2
65000090-018,5,8,6,1,1,1,0,4,0,3,1,2,1,1,11,0,4,0,0,4,0,1,1,7,0,3,0,0,0,5,0,1,3,0,0,0,1,5,2,1,2,5,0,7,0
65000090-019,2,6,6,1,2,7,1,4,0,1,4,6,1,0,8,1,4,0,3,1,4,1,0,10,1,3,0,1,0,3,0,0,13,1,0,0,5,5,4,1,1,10,1,7,0
65000090-007,5,8,4,1,2,12,0,3,0,3,1,2,1,0,7,0,1,0,0,4,3,1,0,12,0,0,0,0,4,5,0,0,8,0,2,0,1,1,2,1,1,9,0,3,0
65000090-002,5,8,4,1,1,12,0,3,1,5,2,1,1,1,7,0,1,1,0,4,3,1,1,12,0,0,0,0,5,5,0,1,8,0,2,1,1,1,2,1,2,9,0,3,1
65000090-022,2,6,6,1,1,7,1,4,0,1,4,6,1,1,4,1,4,0,3,1,4,1,1,10,1,3,0,1,0,3,0,1,13,1,0,0,5,5,4,1,2,10,1,7,0
65000090-013,2,6,5,1,1,4,1,0,0,1,8,0,1,1,4,1,5,0,3,1,4,1,1,0,1,5,0,1,6,1,0,1,13,1,6,0,5,7,4,1,2,10,1,0,0
65000090-008,5,8,4,1,2,4,0,3,2,3,6,2,1,0,2,0,1,2,0,4,3,1,0,7,0,0,2,0,4,5,0,0,3,0,2,2,1,1,2,1,1,5,0,3,2
65000090-009,5,8,4,1,2,12,0,3,0,3,1,2,1,0,7,0,1,0,0,4,3,1,0,12,0,0,0,0,4,5,0,0,8,0,2,0,1,1,2,1,1,9,0,3,0
65000090-027,5,8,6,0,0,4,0,4,0,3,1,2,0,2,11,0,4,0,0,4,0,0,2,7,0,3,0,0,0,5,1,2,3,0,0,0,1,5,2,0,0,5,0,7,0
65000090-028,5,8,4,0,0,4,0,3,0,3,1,2,0,1,11,0,1,0,0,4,3,0,2,7,0,0,0,0,4,5,1,1,3,0,2,0,1,1,2,0,2,5,0,3,0
65000210-001,2,6,5,1,1,0,2,0,0,1,8,0,1,1,8,2,5,0,3,1,4,1,1,0,2,5,0,1,6,1,0,1,1,2,6,0,5,7,4,1,2,0,2,0,0
65000210-003,5,8,6,1,1,2,0,4,2,3,6,2,1,1,12,0,4,2,0,4,0,1,1,7,0,3,2,0,0,5,0,1,3,0,0,2,1,5,2,1,2,5,0,7,2
65000210-011,2,6,5,1,1,0,2,0,0,1,8,0,1,1,12,2,5,0,3,1,4,1,1,10,2,5,0,1,6,1,0,1,1,2,6,0,5,7,4,1,2,10,2,0,0
65000210-005,5,8,4,1,2,13,0,3,0,3,1,2,1,0,12,0,1,0,0,4,3,1,0,7,0,0,0,0,4,5,0,0,3,0,2,0,1,1,2,1,1,5,0,3,0
