County Name,TOWENG,VILENG,QoL_PR,Child Dependency Ratio,Elderly Dependency Ratio,Social Increase,Average Income,Metro 300 Multi,Metro 500 Multi,V_ID
New Taipei City,Sanxia District,Sanxia Vil.,79.57,0.5,0.5,0.4,0.2,0,0,65000090-001
New Taipei City,Sanxia District,Zhongpu Vil.,72.45,0.5,0.1,0.5,0.2,0,0,65000090-004
New Taipei City,Sanxia District,Zhongzheng Vil.,48.59,0.3,0.1,0.3,0.1,0,0,65000090-025
New Taipei City,Sanxia District,Erjiu Vil.,8.27,0.2,0.1,0.3,0.1,0,0,65000090-026
New Taipei City,Sanxia District,Wuliao Vil.,11.96,0.1,0.5,0.4,0.1,0,0,65000090-014
New Taipei City,Sanxia District,Jieshou Vil.,21.57,0.2,0.1,0.3,0.1,0,0,65000090-023
New Taipei City,Sanxia District,Bazhang Vil.,58.2,0.4,0.1,0.3,0.1,0,0,65000090-003
New Taipei City,Sanxia District,Jiatian Vil.,17.2,0.1,0.5,0.5,0.2,0,0,65000090-011
New Taipei City,Sanxia District,Dapu Vil.,51.61,0.3,0.1,0.5,0.2,0,0,65000090-010
New Taipei City,Sanxia District,Ankeng Vil.,5.78,0.1,0.4,0.3,0.1,0,0,65000090-021
New Taipei City,Sanxia District,Anxi Vil.,39.31,0.2,0.1,0.2,0.2,0,0,65000090-024
New Taipei City,Sanxia District,Hongdao Vil.,33.6,0.3,0.2,0.4,0.1,0,0,65000090-005
New Taipei City,Sanxia District,Chengfu Vil.,34.41,0.1,0.2,0.3,0.1,0,0,65000090-020
New Taipei City,Sanxia District,Chajiao Vil.,30.58,0.1,0.5,0.4,0.2,0,0,65000090-015
New Taipei City,Sanxia District,Youmu Vil.,14.58,0.1,0.5,0.3,0.1,0,0,65000090-016
New Taipei City,Sanxia District,Yongguan Vil.,0.34,0.4,0.1,0.1,0.2,0,0,65000090-006
New Taipei City,Sanxia District,Tianfu Vil.,53.36,0.1,0.2,0.4,0.1,0,0,65000090-012
New Taipei City,Sanxia District,Xibei Vil.,36.09,0.2,0.3,0.3,0.1,0,0,65000090-017
New Taipei City,Sanxia District,Xinan Vil.,53.09,0.1,0.2,0.4,0.1,0,0,65000090-018
New Taipei City,Sanxia District,Xidong Vil.,17.41,0.2,0.1,0.3,0.1,0,0,65000090-019
New Taipei City,Sanxia District,Jiaoxi Vil.,57.53,0.3,0.1,0.5,0.2,0,0,65000090-007
New Taipei City,Sanxia District,Xiuchuan Vil.,63.51,0.5,0.3,0.4,0.1,0,0,65000090-002
New Taipei City,Sanxia District,Zhulun Vil.,16.33,0.1,0.5,0.4,0.1,0,0,65000090-022
New Taipei City,Sanxia District,Jinzun Vil.,16.6,0.1,0.4,0.4,0.1,0,0,65000090-013
New Taipei City,Sanxia District,Yuanshan Vil.,50.4,0.4,0.1,0.3,0.2,0,0,65000090-008
New Taipei City,Sanxia District,Longpu Vil.,40.19,0.5,0.1,0.5,0.2,0,0,65000090-009
New Taipei City,Sanxia District,Long'en Vil.,67.34,0.5,0.1,0.5,0.5,0,0,65000090-027
New Taipei City,Sanxia District,Longxue Vil.,74.26,0.5,0.1,0.5,0.5,0,0,65000090-028
New Taipei City,Sanzhi District,Baxian Vil.,8.33,0.1,0.5,0.4,0.1,0,0,65000210-001
New Taipei City,Sanzhi District,Guzhuang Vil.,71.44,0.1,0.5,0.4,0.1,0,0,65000210-003
New Taipei City,Sanzhi District,Yuanshan Vil.,3.97,0.1,0.4,0.4,0.1,0,0,65000210-011
New Taipei City,Sanzhi District,Puping Vil.,12.23,0.2,0.2,0.2,0.1,0,0,65000210-005
New Taipei City,Sanzhi District,Putou Vil.,40.05,0.2,0.1,0.3,0.1,0,0,65000210-002
New Taipei City,Sanzhi District,Dianzi Vil.,17.07,0.1,0.5,0.4,0.1,0,0,65000210-012
New Taipei City,Sanzhi District,Houcuo Vil.,27.62,0.1,0.5,0.3,0.2,0,0,65000210-009
New Taipei City,Sanzhi District,Xinzhuang Vil.,83.74,0.1,0.5,0.3,0.1,0,0,65000210-004
New Taipei City,Sanzhi District,Hengshan Vil.,12.3,0.1,0.5,0.4,0.1,0,0,65000210-007
New Taipei City,Sanzhi District,Fude Vil.,41.2,0.2,0.4,0.4,0.3,0,0,65000210-010
New Taipei City,Sanzhi District,Xinghua Vil.,12.97,0.1,0.5,0.4,0.2,0,0,65000210-013
New Taipei City,Sanzhi District,Maochang Vil.,43.15,0.1,0.4,0.4,0.1,0,0,65000210-006
New Taipei City,Sanzhi District,Xiban Vil.,56.25,0.1,0.5,0.4,0.1,0,0,65000210-008
New Taipei City,Sanchong District,San'an Vil.,48.39,0.2,0.4,0.3,0.2,0,0,65000020-072
New Taipei City,Sanchong District,Sanmin Vil.,4.97,0.5,0.2,0.3,0.3,0,0,65000020-019
New Taipei City,Sanchong District,Zhongyang Vil.,46.37,0.2,0.4,0.5,0.2,0,1,65000020-052
New Taipei City,Sanchong District,Zhongshan Vil.,23.32,0.2,0.2,0.4,0.4,0,0,65000020-041
New Taipei City,Sanchong District,Zhongzheng Vil.,44.83,0.1,0.3,0.4,0.2,0,0,65000020-026
New Taipei City,Sanchong District,Zhongmin Vil.,25.47,0.1,0.3,0.3,0.1,0,0,65000020-029
New Taipei City,Sanchong District,Zhongxing Vil.,39.11,0.2,0.2,0.4,0.3,0,0,65000020-005
New Taipei City,Sanchong District,Erchong Vil.,41.53,0.2,0.2,0.4,0.1,0,0,65000020-002
New Taipei City,Sanchong District,Wuchang Vil.,3.29,0.3,0.2,0.3,0.1,0,0,65000020-095
New Taipei City,Sanchong District,Wufu Vil.,2.22,0.4,0.1,0.2,0.3,0,0,65000020-096
New Taipei City,Sanchong District,Wuhua Vil.,4.23,0.4,0.1,0.3,0.4,0,0,65000020-104
New Taipei City,Sanchong District,Wugu Vil.,47.72,0.1,0.2,0.5,0.2,0,0,65000020-109
New Taipei City,Sanchong District,Wushun Vil.,0.81,0.3,0.2,0.3,0.1,0,0,65000020-119
New Taipei City,Sanchong District,Rende Vil.,45.5,0.1,0.4,0.3,0.1,0,1,65000020-032
New Taipei City,Sanchong District,Renzhong Vil.,1.28,0.4,0.3,0.2,0.1,0,0,65000020-097
New Taipei City,Sanchong District,Renyi Vil.,16.2,0.2,0.2,0.4,0.2,0,0,65000020-034
New Taipei City,Sanchong District,Renhua Vil.,39.99,0.4,0.2,0.5,0.3,0,1,65000020-118
New Taipei City,Sanchong District,Jieshou Vil.,55.04,0.3,0.4,0.3,0.2,0,0,65000020-065
New Taipei City,Sanchong District,Xin'an Vil.,53.97,0.3,0.2,0.3,0.3,0,0,65000020-074
New Taipei City,Sanchong District,Guangming Vil.,17.54,0.4,0.1,0.2,0.3,0,0,65000020-020
New Taipei City,Sanchong District,Guangrong Vil.,30.17,0.1,0.3,0.3,0.3,0,0,65000020-035
New Taipei City,Sanchong District,Guangzheng Vil.,34.68,0.2,0.1,0.5,0.5,0,0,65000020-021
New Taipei City,Sanchong District,Guangtian Vil.,9.07,0.1,0.3,0.3,0.3,0,0,65000020-013
New Taipei City,Sanchong District,Guanghua Vil.,46.1,0.1,0.3,0.5,0.3,0,0,65000020-057
New Taipei City,Sanchong District,Guanghui Vil.,32.53,0.1,0.3,0.4,0.2,0,0,65000020-036
New Taipei City,Sanchong District,Guangyang Vil.,34.01,0.1,0.2,0.2,0.3,0,0,65000020-014
New Taipei City,Sanchong District,Liuhe Vil.,2.62,0.3,0.2,0.3,0.1,0,0,65000020-077
New Taipei City,Sanchong District,Liufu Vil.,8.47,0.5,0.1,0.3,0.2,0,0,65000020-078
New Taipei City,Sanchong District,Bo'ai Vil.,2.35,0.2,0.2,0.2,0.2,0,0,65000020-110
New Taipei City,Sanchong District,Houde Vil.,13.24,0.4,0.2,0.3,0.3,0,0,65000020-083
New Taipei City,Sanchong District,Jili Vil.,37.23,0.1,0.3,0.4,0.1,0,0,65000020-027
New Taipei City,Sanchong District,Tong'an Vil.,10.28,0.2,0.2,0.4,0.1,0,0,65000020-022
New Taipei City,Sanchong District,Tongqing Vil.,4.3,0.2,0.2,0.3,0.3,0,0,65000020-023
New Taipei City,Sanchong District,Guolong Vil.,23.25,0.2,0.2,0.2,0.2,0,0,65000020-043
New Taipei City,Sanchong District,Peide Vil.,32.26,0.4,0.2,0.2,0.2,0,0,65000020-086
New Taipei City,Sanchong District,Datong Vil.,50,0.1,0.2,0.4,0.3,0,0,65000020-028
New Taipei City,Sanchong District,Dayuan Vil.,8.13,0.4,0.2,0.4,0.3,0,0,65000020-042
New Taipei City,Sanchong District,Da'an Vil.,10.15,0.2,0.2,0.3,0.1,0,0,65000020-031
New Taipei City,Sanchong District,Dade Vil.,69.83,0.1,0.3,0.4,0.2,0,0,65000020-060
New Taipei City,Sanchong District,Dayou Vil.,8.6,0.3,0.2,0.2,0.2,0,0,65000020-001
New Taipei City,Sanchong District,Yishou Vil.,56.79,0.2,0.3,0.4,0.3,0,0,65000020-071
New Taipei City,Sanchong District,Anqing Vil.,37.37,0.1,0.3,0.4,0.1,0,0,65000020-075
New Taipei City,Sanchong District,Fufu Vil.,19.22,0.4,0.2,0.5,0.1,0,0,65000020-107
New Taipei City,Sanchong District,Fuhua Vil.,4.64,0.5,0.2,0.4,0.3,0,0,65000020-106
New Taipei City,Sanchong District,Fugui Vil.,18.35,0.4,0.1,0.5,0.5,0,0,65000020-105
New Taipei City,Sanchong District,Shangde Vil.,27.69,0.3,0.3,0.3,0.1,0,0,65000020-085
New Taipei City,Sanchong District,Chongde Vil.,42.94,0.2,0.3,0.2,0.1,0,0,65000020-082
New Taipei City,Sanchong District,Pinghe Vil.,21.71,0.1,0.4,0.4,0.1,0,0,65000020-030
New Taipei City,Sanchong District,Xingfu Vil.,7.8,0.2,0.2,0.3,0.2,0,0,65000020-076
New Taipei City,Sanchong District,Dehou Vil.,37.9,0.1,0.5,0.4,0.2,0,0,65000020-006
New Taipei City,Sanchong District,Zhongxiao Vil.,10.22,0.2,0.4,0.4,0.2,0,0,65000020-033
New Taipei City,Sanchong District,Cihua Vil.,16.53,0.4,0.2,0.5,0.1,0,0,65000020-102
New Taipei City,Sanchong District,Cihui Vil.,11.42,0.2,0.3,0.4,0.2,0,0,65000020-100
New Taipei City,Sanchong District,Ci'ai Vil.,31.25,0.2,0.3,0.2,0.1,0,1,65000020-101
New Taipei City,Sanchong District,Cisheng Vil.,43.55,0.2,0.4,0.3,0.1,0,1,65000020-099
New Taipei City,Sanchong District,Ciyou Vil.,5.24,0.4,0.2,0.5,0.2,0,0,65000020-103
New Taipei City,Sanchong District,Cifu Vil.,41.8,0.2,0.3,0.4,0.1,0,1,65000020-098
New Taipei City,Sanchong District,Chenggong Vil.,34.07,0.4,0.1,0.5,0.4,0,0,65000020-007
New Taipei City,Sanchong District,Chengde Vil.,23.86,0.1,0.3,0.4,0.2,0,0,65000020-080
New Taipei City,Sanchong District,Wenhua Vil.,47.18,0.3,0.5,0.3,0.2,0,0,65000020-051
New Taipei City,Sanchong District,Zheng'an Vil.,45.43,0.2,0.3,0.4,0.2,0,0,65000020-049
New Taipei City,Sanchong District,Zhengde Vil.,30.44,0.3,0.5,0.3,0.1,0,0,65000020-047
New Taipei City,Sanchong District,Zhengyi Vil.,32.46,0.4,0.3,0.4,0.3,0,1,65000020-048
New Taipei City,Sanchong District,Minsheng Vil.,2.49,0.3,0.3,0.5,0.1,0,0,65000020-045
New Taipei City,Sanchong District,Yongji Vil.,29.44,0.4,0.2,0.2,0.2,0,0,65000020-112
New Taipei City,Sanchong District,Yong'an Vil.,19.96,0.4,0.1,0.5,0.2,0,0,65000020-091
New Taipei City,Sanchong District,Yongde Vil.,32.33,0.4,0.2,0.2,0.1,0,0,65000020-087
New Taipei City,Sanchong District,Yongchun Vil.,32.06,0.4,0.2,0.3,0.2,0,0,65000020-025
New Taipei City,Sanchong District,Yongqing Vil.,26.48,0.5,0.2,0.2,0.2,0,1,65000020-090
