,V_ID,kmeans_all_9,kmeans_nocity&county_6,kmeans_nocity_6,c_,j_,ht_,s_,cs_,e_
0,65000090-001,4,0,2,0,16,0,0,0,12
1,65000090-004,4,0,2,19,1,0,0,0,5
2,65000090-025,4,0,2,15,3,0,0,0,5
3,65000090-026,8,2,1,19,17,0,1,0,9
4,65000090-014,8,2,1,8,4,0,1,0,9
5,65000090-023,4,0,2,15,6,0,0,0,10
6,65000090-003,4,0,2,2,17,0,0,0,12
7,65000090-011,2,2,1,8,1,0,1,0,9
8,65000090-010,4,0,2,15,3,0,0,0,0
9,65000090-021,2,2,1,0,9,1,2,0,9
10,65000090-024,4,0,2,18,15,0,0,0,14
11,65000090-005,2,2,1,0,4,0,1,0,9
12,65000090-020,2,2,1,0,4,1,1,0,0
13,65000090-015,2,2,1,4,4,0,1,0,9
14,65000090-016,2,2,1,8,4,0,2,0,9
15,65000090-006,8,2,1,10,15,1,2,0,13
16,65000090-012,2,0,2,0,4,0,1,0,0
17,65000090-017,8,2,1,19,1,1,0,0,2
18,65000090-018,4,0,2,0,9,0,0,0,0
19,65000090-019,2,2,1,19,17,1,1,0,10
20,65000090-007,4,0,2,2,3,0,0,0,14
21,65000090-002,4,1,3,14,16,0,0,0,13
22,65000090-022,2,2,1,0,9,1,1,0,9
23,65000090-013,8,2,1,8,16,0,1,0,9
24,65000090-008,4,0,2,10,6,0,0,0,7
25,65000090-009,4,0,2,10,6,0,0,0,10
26,65000090-027,4,0,2,20,2,0,0,0,14
27,65000090-028,4,0,2,2,14,0,0,0,5
28,65000210-001,8,2,1,4,16,1,2,0,5
29,65000210-003,4,0,2,8,4,1,0,0,7
30,65000210-011,8,2,1,0,16,1,2,0,9
31,65000210-005,4,0,2,15,6,1,0,0,0
32,65000210-002,4,0,2,15,3,1,0,0,5
33,65000210-012,2,2,1,8,16,1,2,0,9
34,65000210-009,8,2,1,4,9,1,1,0,7
35,65000210-004,4,0,2,8,4,1,0,0,7
36,65000210-007,2,2,1,4,16,1,2,0,9
37,65000210-010,8,2,1,0,16,1,0,0,0
38,65000210-013,2,2,1,8,4,1,2,0,9
39,65000210-006,8,2,1,0,16,1,0,0,0
40,65000210-008,8,2,1,4,16,1,0,0,7
41,65000020-072,3,4,5,11,9,0,1,0,13
42,65000020-019,3,1,3,22,20,1,1,0,13
43,65000020-052,3,4,5,11,9,0,1,1,13
44,65000020-041,3,4,5,14,20,0,1,1,1
45,65000020-026,3,4,5,11,4,1,1,0,13
46,65000020-029,3,4,5,11,4,0,1,1,13
47,65000020-005,3,4,5,7,1,0,1,1,8
48,65000020-002,1,1,3,19,9,1,1,0,1
49,65000020-095,3,2,1,15,17,0,1,0,1
50,65000020-096,3,2,1,5,1,1,1,0,13
51,65000020-104,3,1,3,2,8,1,1,0,13
52,65000020-109,3,4,5,0,9,0,1,1,14
53,65000020-119,3,2,1,1,17,1,1,0,13
54,65000020-032,3,4,5,11,9,0,1,1,13
55,65000020-097,3,2,1,22,1,1,1,0,13
56,65000020-034,3,4,5,14,4,0,1,0,13
57,65000020-118,3,4,5,1,17,1,1,1,13
58,65000020-065,3,4,5,11,4,0,1,1,13
59,65000020-074,3,4,5,22,9,0,1,1,13
60,65000020-020,3,4,5,18,12,0,1,1,1
61,65000020-035,3,4,5,11,4,0,1,1,13
62,65000020-021,3,4,5,7,10,0,1,0,13
63,65000020-013,3,4,5,23,11,1,1,0,13
64,65000020-057,3,4,5,11,9,0,1,1,13
65,65000020-036,3,4,5,14,4,0,1,1,13
66,65000020-014,3,4,5,6,8,1,1,1,1
67,65000020-077,3,1,3,1,17,0,1,0,13
68,65000020-078,3,1,3,23,3,1,1,0,13
69,65000020-110,3,1,3,23,17,1,1,0,13
70,65000020-083,3,4,5,22,1,0,1,1,13
71,65000020-027,3,4,5,11,4,0,1,1,13
72,65000020-022,3,4,5,0,9,0,1,0,13
73,65000020-023,3,2,1,19,4,0,1,0,13
74,65000020-043,3,4,5,22,9,0,1,1,13
75,65000020-086,3,4,5,5,1,0,1,1,1
76,65000020-028,3,4,5,22,9,0,1,1,13
77,65000020-042,3,4,5,22,1,0,1,0,13
78,65000020-031,3,4,5,11,9,0,1,0,13
79,65000020-060,3,5,5,11,16,0,0,1,13
80,65000020-001,1,1,3,2,8,1,1,0,1
81,65000020-071,3,4,5,14,9,0,1,1,13
82,65000020-075,3,4,5,22,9,0,1,1,13
83,65000020-107,3,1,3,1,9,1,1,0,13
84,65000020-106,3,1,3,9,1,1,1,0,13
85,65000020-105,8,2,1,15,0,1,1,0,14
86,65000020-085,3,4,5,1,1,0,1,1,13
87,65000020-082,3,4,5,1,17,0,1,1,12
88,65000020-030,3,4,5,11,9,0,1,1,13
89,65000020-076,3,1,3,5,17,0,1,0,1
90,65000020-006,3,2,1,8,16,1,1,0,12
91,65000020-033,3,4,5,11,9,0,1,0,13
92,65000020-102,3,1,3,22,9,1,1,0,13
93,65000020-100,3,4,5,22,9,1,1,1,13
94,65000020-101,3,4,5,22,17,1,1,1,13
95,65000020-099,3,4,5,11,9,1,1,1,13
96,65000020-103,3,4,5,23,17,1,1,1,13
97,65000020-098,3,4,5,22,9,1,1,1,13
98,65000020-007,3,2,1,15,11,0,1,0,4
99,65000020-080,3,4,5,14,9,0,1,1,13
100,65000020-051,3,4,5,11,9,0,1,1,13
101,65000020-049,3,4,5,11,9,0,1,1,13
102,65000020-047,3,4,5,11,4,0,1,1,13
103,65000020-048,3,4,5,14,4,0,1,1,13
104,65000020-045,8,2,1,23,17,0,1,0,12
105,65000020-112,3,4,5,1,1,1,1,1,13
106,65000020-091,3,4,5,9,17,1,1,1,13
107,65000020-087,3,4,5,23,3,0,1,1,1
108,65000020-025,3,4,5,22,9,1,1,1,13
109,65000020-090,3,4,5,9,3,1,1,1,13
110,65000020-092,3,4,5,22,1,1,1,1,13
111,65000020-113,3,1,3,13,8,1,1,0,1
112,65000020-088,3,4,5,1,1,1,1,1,13
113,65000020-089,3,4,5,23,3,1,1,1,13
114,65000020-040,3,4,5,0,4,0,0,1,13
115,65000020-115,3,4,5,12,3,1,1,1,13
116,65000020-114,3,4,5,9,3,1,1,1,13
117,65000020-039,3,4,5,7,20,0,1,1,13
118,65000020-093,3,4,5,18,15,0,1,1,1
119,65000020-081,3,4,5,11,9,0,1,1,12
120,65000020-017,3,1,3,12,8,1,1,0,13
121,65000020-018,3,1,3,23,3,1,1,0,13
122,65000020-015,3,1,3,1,17,1,1,0,13
123,65000020-108,3,4,5,18,0,1,1,1,4
124,65000020-038,3,4,5,7,9,0,1,1,13
125,65000020-073,3,4,5,22,1,0,1,1,13
126,65000020-111,3,2,1,1,1,0,1,0,12
127,65000020-037,3,4,5,11,4,0,1,0,13
128,65000020-117,3,4,5,22,17,1,1,1,13
129,65000020-009,3,1,3,22,1,0,1,0,13
130,65000020-016,3,1,3,22,1,1,1,0,13
131,65000020-008,3,4,5,18,11,0,1,1,1
132,65000020-094,3,4,5,1,11,0,1,1,1
133,65000020-070,3,4,5,22,4,0,1,1,13
134,65000020-116,3,1,3,5,1,0,1,0,13
135,65000020-084,3,4,5,1,1,0,1,1,13
136,65000020-050,3,4,5,22,9,0,1,1,13
137,65000020-024,3,4,5,22,9,1,1,1,13
138,65000020-066,3,4,5,22,9,0,1,1,13
139,65000020-004,3,2,1,0,4,1,1,0,4
140,65000020-010,3,4,5,12,6,1,1,1,1
141,65000020-046,3,4,5,11,4,0,1,1,13
142,65000020-012,3,4,5,5,20,1,1,1,1
143,65000020-044,3,4,5,1,1,0,1,1,12
144,65000020-055,3,4,5,11,9,0,1,1,13
145,65000020-067,3,1,3,14,9,0,1,0,13
146,65000020-011,3,4,5,11,9,1,1,0,13
147,65000020-054,3,4,5,11,9,0,1,0,13
148,65000020-061,3,4,5,22,9,0,1,1,13
149,65000020-056,3,4,5,11,9,0,1,1,13
150,65000020-062,3,4,5,14,9,0,1,1,13
151,65000020-063,3,4,5,22,9,0,1,1,13
152,65000020-058,3,4,5,11,16,0,1,1,13
153,65000020-064,3,1,3,14,4,0,1,0,13
154,65000020-059,3,5,5,14,4,0,0,1,13
155,65000020-053,3,4,5,11,4,0,1,1,13
156,65000020-003,8,2,1,19,9,1,0,0,8
157,65000020-079,3,1,3,11,9,0,1,0,13
158,65000020-068,3,4,5,5,1,0,1,1,13
159,65000020-069,3,4,5,11,9,0,1,1,13
160,65000030-001,2,2,1,15,11,0,1,0,2
161,65000030-023,0,3,0,6,19,1,1,1,12
162,65000030-083,1,1,3,22,20,1,1,0,13
163,65000030-005,1,1,3,9,17,1,1,0,13
164,65000030-081,8,2,1,13,0,1,1,0,14
165,65000030-004,1,1,3,1,17,1,1,0,13
166,65000030-019,2,0,2,6,11,1,1,0,12
167,65000030-003,1,1,3,23,17,1,1,0,13
168,65000030-042,8,2,1,15,8,1,2,0,5
169,65000030-090,6,1,3,22,20,1,0,0,13
170,65000030-009,2,0,2,23,0,1,1,0,12
171,65000030-026,1,4,5,23,14,1,1,1,13
172,65000030-082,3,4,5,22,10,1,1,1,13
173,65000030-046,1,4,5,23,11,1,1,1,13
174,65000030-088,4,1,3,5,1,1,0,0,1
175,65000030-057,8,1,3,13,8,1,0,0,1
176,65000030-089,2,0,2,2,17,1,1,0,12
177,65000030-060,2,0,2,2,17,1,1,0,4
178,65000030-058,2,0,2,14,9,1,1,0,4
179,65000030-069,6,1,3,9,11,0,0,0,13
180,65000030-091,6,1,3,9,1,0,0,0,13
181,65000030-043,3,4,5,14,9,1,1,1,12
182,65000030-070,4,0,2,23,11,1,0,0,12
183,65000030-044,3,4,5,9,6,1,1,1,12
184,65000030-021,3,4,5,22,10,1,1,0,13
