V_ID,QoL_PR
65000090-001,79.57
65000090-004,72.45
65000090-025,48.59
65000090-026,8.27
65000090-014,11.96
65000090-023,21.57
65000090-003,58.2
65000090-011,17.2
65000090-010,51.61
65000090-021,5.78
65000090-024,39.31
65000090-005,33.6
65000090-020,34.41
65000090-015,30.58
65000090-016,14.58
65000090-006,0.34
65000090-012,53.36
65000090-017,36.09
65000090-018,53.09
65000090-019,17.41
65000090-007,57.53
65000090-002,63.51
65000090-022,16.33
65000090-013,16.6
65000090-008,50.4
65000090-009,40.19
65000090-027,67.34
65000090-028,74.26
65000210-001,8.33
65000210-003,71.44
65000210-011,3.97
65000210-005,12.23
65000210-002,40.05
65000210-012,17.07
65000210-009,27.62
65000210-004,83.74
65000210-007,12.3
65000210-010,41.2
65000210-013,12.97
65000210-006,43.15
65000210-008,56.25
65000020-072,48.39
65000020-019,4.97
65000020-052,46.37
65000020-041,23.32
65000020-026,44.83
65000020-029,25.47
65000020-005,39.11
65000020-002,41.53
65000020-095,3.29
65000020-096,2.22
65000020-104,4.23
65000020-109,47.72
65000020-119,0.81
65000020-032,45.5
65000020-097,1.28
65000020-034,16.2
65000020-118,39.99
65000020-065,55.04
65000020-074,53.97
65000020-020,17.54
65000020-035,30.17
65000020-021,34.68
65000020-013,9.07
65000020-057,46.1
65000020-036,32.53
65000020-014,34.01
65000020-077,2.62
65000020-078,8.47
65000020-110,2.35
65000020-083,13.24
65000020-027,37.23
65000020-022,10.28
65000020-023,4.3
65000020-043,23.25
65000020-086,32.26
65000020-028,50
65000020-042,8.13
65000020-031,10.15
65000020-060,69.83
65000020-001,8.6
65000020-071,56.79
65000020-075,37.37
65000020-107,19.22
65000020-106,4.64
65000020-105,18.35
65000020-085,27.69
65000020-082,42.94
65000020-030,21.71
65000020-076,7.8
65000020-006,37.9
65000020-033,10.22
65000020-102,16.53
65000020-100,11.42
65000020-101,31.25
65000020-099,43.55
65000020-103,5.24
65000020-098,41.8
65000020-007,34.07
65000020-080,23.86
65000020-051,47.18
65000020-049,45.43
65000020-047,30.44
65000020-048,32.46
65000020-045,2.49
65000020-112,29.44
65000020-091,19.96
65000020-087,32.33
65000020-025,32.06
65000020-090,26.48
65000020-092,12.43
65000020-113,3.56
65000020-088,47.92
65000020-089,29.03
65000020-040,56.65
65000020-115,4.77
65000020-114,3.23
65000020-039,47.51
65000020-093,7.06
65000020-081,35.89
65000020-017,1.48
65000020-018,1.55
65000020-015,9.01
65000020-108,34.21
65000020-038,57.06
65000020-073,36.63
65000020-111,30.91
65000020-037,34.95
65000020-117,35.15
65000020-009,4.5
65000020-016,3.09
65000020-008,29.64
65000020-094,29.5
65000020-070,52.49
65000020-116,4.57
65000020-084,16.06
65000020-050,42.07
65000020-024,40.39
65000020-066,25.67
65000020-004,29.7
65000020-010,0.94
65000020-046,51.75
65000020-012,60.42
65000020-044,28.9
65000020-055,59.54
65000020-067,7.26
65000020-011,7.33
65000020-054,25.54
65000020-061,33.74
65000020-056,59.74
65000020-062,26.21
65000020-063,56.05
65000020-058,68.75
65000020-064,12.77
65000020-059,68.21
65000020-053,54.17
65000020-003,27.82
65000020-079,7.53
65000020-068,16.47
65000020-069,46.51
65000030-001,88.1
65000030-023,80.78
65000030-083,35.28
65000030-005,20.16
65000030-081,19.09
65000030-004,48.66
65000030-019,43.41
65000030-003,14.65
65000030-042,3.63
65000030-090,15.12
65000030-009,49.8
65000030-026,51.81
65000030-082,61.76
65000030-046,26.08
65000030-088,54.37
65000030-057,28.02
65000030-089,25.4
65000030-060,27.08
65000030-058,36.83
65000030-069,14.05
65000030-091,17.14
65000030-043,60.69
65000030-070,51.95
65000030-044,13.44
65000030-021,8
65000030-022,38.37
65000030-020,67.54
65000030-062,7.93
65000030-075,16.13
65000030-074,12.03
65000030-039,78.76
65000030-002,53.63
65000030-012,65.32
65000030-006,33.4
65000030-045,6.65
65000030-067,21.17
65000030-073,22.98
65000030-038,31.72
65000030-059,15.73
65000030-025,10.08
65000030-071,29.3
65000030-064,18.88
65000030-040,78.63
65000030-050,50.94
65000030-047,30.31
65000030-051,56.32
65000030-048,22.78
65000030-079,30.51
65000030-049,36.69
65000030-036,60.95
65000030-010,55.78
65000030-041,6.18
65000030-092,21.77
65000030-093,9.54
65000030-056,15.26
65000030-061,23.39
65000030-087,31.12
65000030-068,4.44
65000030-024,14.85
65000030-065,36.02
65000030-011,58.8
65000030-054,1.95
65000030-063,9.41
65000030-017,0.2
65000030-084,75
65000030-080,25
65000030-018,43.95
65000030-014,40.59
65000030-013,44.29
65000030-016,35.35
65000030-015,23.05
65000030-033,55.11
65000030-077,18.75
65000030-027,61.36
65000030-032,72.18
65000030-028,50.34
65000030-031,24.8
65000030-030,88.84
65000030-072,39.18
65000030-029,25.13
65000030-076,28.63
65000030-055,50.2
65000030-066,25.6
65000030-078,65.39
65000030-037,49.46
65000030-035,20.23
65000030-007,66.94
65000030-008,30.11
65000030-085,55.85
65000030-052,55.58
65000030-053,67.81
65000030-086,52.82
65000030-034,2.02
65000150-009,55.38
65000150-008,46.77
65000150-007,4.1
65000150-015,20.09
65000150-013,16.87
65000150-010,56.18
65000150-006,14.18
65000150-005,19.35
65000150-014,20.83
65000150-018,52.02
65000150-002,53.76
65000150-017,58.06
65000150-019,20.03
65000150-020,59.27
65000150-001,47.24
65000150-004,3.9
65000150-012,12.5
65000150-011,13.91
65000150-003,6.25
65000150-016,5.51
65000230-010,27.02
65000230-004,18.55
65000230-003,42.74
65000230-002,66.13
65000230-006,24.46
65000230-008,31.38
65000230-007,34.74
65000230-009,59.68
65000230-005,53.16
65000230-001,62.1
65000130-017,0.07
65000130-041,86.96
65000130-004,37.1
65000130-037,67.2
65000130-003,82.73
65000130-033,76.88
65000130-002,76.08
65000130-001,51.34
65000130-010,87.7
65000130-020,64.18
65000130-042,87.9
65000130-029,94.15
65000130-039,76.01
65000130-031,23.99
65000130-018,9.88
65000130-028,57.26
65000130-044,79.44
65000130-034,41.6
65000130-040,32.93
65000130-030,47.65
65000130-047,15.66
65000130-019,48.86
65000130-035,60.08
65000130-007,82.33
65000130-006,67.41
65000130-043,79.91
65000130-009,83.53
65000130-027,89.92
65000130-038,38.04
65000130-021,48.25
65000130-014,69.42
65000130-022,81.18
65000130-015,13.51
65000130-013,2.08
65000130-012,41.94
65000130-016,35.01
65000130-011,19.56
65000130-026,45.7
65000130-036,51.21
65000130-008,72.65
65000130-046,15.86
65000130-005,80.31
65000130-045,39.85
65000130-032,77.08
65000130-023,78.43
65000130-025,49.73
65000130-024,32.73
65000200-005,27.55
65000200-002,52.35
65000200-003,43.75
65000200-006,53.49
65000200-007,26.75
65000200-004,13.78
65000200-001,11.63
65000240-011,24.73
65000240-009,34.27
65000240-006,55.51
65000240-010,21.37
65000240-005,76.95
65000240-012,20.9
65000240-008,8.06
65000240-007,37.7
65000240-003,76.34
65000240-004,71.37
65000240-002,62.57
65000240-001,5.65
65000060-013,9.61
65000060-054,80.04
65000060-052,93.15
65000060-044,84.68
65000060-037,71.03
65000060-045,84.54
65000060-041,0.4
65000060-046,87.16
65000060-008,64.45
65000060-016,2.42
65000060-057,1.68
65000060-053,58
65000060-023,6.92
65000060-033,74.4
65000060-001,85.42
65000060-021,35.75
65000060-004,56.59
65000060-003,76.61
65000060-010,69.02
65000060-011,83.87
65000060-056,73.59
65000060-064,1.61
65000060-007,83.27
65000060-058,65.26
65000060-006,88.98
65000060-059,28.56
65000060-026,25.94
65000060-035,80.44
65000060-028,38.64
65000060-061,51.88
65000060-040,74.06
65000060-032,94.96
65000060-062,84.27
65000060-017,7.39
65000060-009,62.84
65000060-043,62.7
65000060-034,89.45
65000060-036,69.96
65000060-066,68.01
65000060-042,21.24
65000060-031,77.42
65000060-039,91.67
65000060-038,81.05
65000060-019,1.34
65000060-055,28.7
65000060-002,71.17
65000060-014,17.27
65000060-015,36.36
65000060-067,21.3
65000060-005,64.65
65000060-020,1.08
65000060-048,58.47
65000060-047,49.4
65000060-050,70.9
65000060-029,43.08
65000060-049,40.52
65000060-051,85.75
65000060-025,24.06
65000060-063,7.46
65000060-022,3.16
65000060-069,13.37
65000060-068,3.43
65000060-065,57.33
65000060-024,22.58
65000060-018,5.71
65000060-030,23.52
65000060-012,72.72
65000060-060,2.82
65000060-027,13.31
65000050-054,14.31
65000050-058,7.12
65000050-053,94.62
65000050-014,62.5
65000050-057,9.68
65000050-075,15.39
65000050-017,18.01
65000050-023,9.21
65000050-011,63.17
65000050-051,26.01
65000050-020,5.58
65000050-052,58.4
65000050-043,92
65000050-028,49.66
65000050-061,23.79
65000050-030,59.88
65000050-084,12.84
65000050-044,33.47
65000050-041,12.57
65000050-083,13.98
65000050-038,5.17
65000050-004,70.03
65000050-060,84.14
65000050-012,29.37
65000050-036,66.87
65000050-027,39.92
65000050-046,38.24
65000050-033,68.08
65000050-055,33.2
65000050-003,68.68
65000050-024,70.77
65000050-078,51.68
65000050-047,15.99
65000050-070,33.87
65000050-056,58.33
65000050-069,76.28
65000050-009,31.65
65000050-007,76.14
65000050-025,53.02
65000050-039,52.76
65000050-008,92.61
65000050-071,27.49
65000050-019,82.93
65000050-022,98.99
65000050-065,88.51
65000050-010,81.72
65000050-073,53.9
65000050-064,91.2
65000050-063,66.06
65000050-074,19.42
65000050-016,82.12
65000050-081,37.3
65000050-032,7.73
65000050-082,4.37
65000050-035,8.8
65000050-077,90.86
65000050-001,12.1
65000050-040,96.84
65000050-018,38.58
65000050-080,6.32
65000050-005,90.39
65000050-068,95.36
65000050-072,54.44
65000050-026,99.19
65000050-034,44.15
65000050-062,45.9
65000050-076,75.47
65000050-029,91.94
65000050-037,50.07
65000050-059,55.31
65000050-031,67.47
65000050-049,15.19
65000050-042,15.05
65000050-045,29.77
65000050-013,95.3
65000050-066,48.05
65000050-021,45.97
65000050-015,44.56
65000050-006,19.62
65000050-048,40.46
65000050-002,80.11
65000050-067,57.93
65000050-079,38.84
65000050-050,52.62
