index,County Name,Township Name,Village Name,QoL,Child Dependency Ratio,Elderly Dependency Ratio,Social Increase,Average Income,Metro 300 Multi,Metro 500 Multi,V_ID
新北市三峽區三峽里,新北市,三峽區,三峽里,4.608730853465532,0.5,0.5,0.4,0.2,0.0,0.0,65000090-001
新北市三峽區中埔里,新北市,三峽區,中埔里,4.104684054271554,0.5,0.1,0.5,0.2,0.0,0.0,65000090-004
新北市三峽區中正里,新北市,三峽區,中正里,2.6163007865567263,0.3,0.1,0.3,0.1,0.0,0.0,65000090-025
新北市三峽區二鬮里,新北市,三峽區,二鬮里,0.260117349425189,0.2,0.1,0.3,0.1,0.0,0.0,65000090-026
新北市三峽區五寮里,新北市,三峽區,五寮里,0.6151315081301383,0.1,0.5,0.4,0.1,0.0,0.0,65000090-014
新北市三峽區介壽里,新北市,三峽區,介壽里,1.2504669924203307,0.2,0.1,0.3,0.1,0.0,0.0,65000090-023
新北市三峽區八張里,新北市,三峽區,八張里,3.156087036783745,0.4,0.1,0.3,0.1,0.0,0.0,65000090-003
新北市三峽區嘉添里,新北市,三峽區,嘉添里,0.9821556871519653,0.1,0.5,0.5,0.2,0.0,0.0,65000090-011
新北市三峽區大埔里,新北市,三峽區,大埔里,2.738875184296398,0.3,0.1,0.5,0.2,0.0,0.0,65000090-010
新北市三峽區安坑里,新北市,三峽區,安坑里,-0.03203036988936321,0.1,0.4,0.3,0.1,0.0,0.0,65000090-021
新北市三峽區安溪里,新北市,三峽區,安溪里,2.2454441474019884,0.2,0.1,0.2,0.2,0.0,0.0,65000090-024
新北市三峽區弘道里,新北市,三峽區,弘道里,1.9685904553881644,0.3,0.2,0.4,0.1,0.0,0.0,65000090-005
新北市三峽區成福里,新北市,三峽區,成福里,2.0018994873651974,0.1,0.2,0.3,0.1,0.0,0.0,65000090-020
新北市三峽區插角里,新北市,三峽區,插角里,1.797855180131236,0.1,0.5,0.4,0.2,0.0,0.0,65000090-015
新北市三峽區有木里,新北市,三峽區,有木里,0.8064367311474732,0.1,0.5,0.3,0.1,0.0,0.0,65000090-016
新北市三峽區永?里,新北市,三峽區,永?里,-2.71880241189238,0.4,0.1,0.1,0.2,0.0,0.0,65000090-006
新北市三峽區添福里,新北市,三峽區,添福里,2.8494673749990502,0.1,0.2,0.4,0.1,0.0,0.0,65000090-012
新北市三峽區溪北里,新北市,三峽區,溪北里,2.0889190147274497,0.2,0.3,0.3,0.1,0.0,0.0,65000090-017
新北市三峽區溪南里,新北市,三峽區,溪南里,2.8303364426010584,0.1,0.2,0.4,0.1,0.0,0.0,65000090-018
新北市三峽區溪東里,新北市,三峽區,溪東里,1.024732036906488,0.2,0.1,0.3,0.1,0.0,0.0,65000090-019
新北市三峽區礁溪里,新北市,三峽區,礁溪里,3.1000205924193374,0.3,0.1,0.5,0.2,0.0,0.0,65000090-007
新北市三峽區秀川里,新北市,三峽區,秀川里,3.475383390586983,0.5,0.3,0.4,0.1,0.0,0.0,65000090-002
新北市三峽區竹崙里,新北市,三峽區,竹崙里,0.9186829671421726,0.1,0.5,0.4,0.1,0.0,0.0,65000090-022
新北市三峽區金圳里,新北市,三峽區,金圳里,0.9358554792902171,0.1,0.4,0.4,0.1,0.0,0.0,65000090-013
新北市三峽區鳶山里,新北市,三峽區,鳶山里,2.6731066576668003,0.4,0.1,0.3,0.2,0.0,0.0,65000090-008
新北市三峽區龍埔里,新北市,三峽區,龍埔里,2.287890914933785,0.5,0.1,0.5,0.2,0.0,0.0,65000090-009
新北市三峽區龍學里,新北市,三峽區,龍學里,3.715842647305214,0.5,0.1,0.5,0.5,0.0,0.0,65000090-027
新北市三峽區龍恩里,新北市,三峽區,龍恩里,4.1981407059236755,0.5,0.1,0.5,0.5,0.0,0.0,65000090-028
新北市三芝區八賢里,新北市,三芝區,八賢里,0.26484678393608435,0.1,0.5,0.4,0.1,0.0,0.0,65000210-001
新北市三芝區古庄里,新北市,三芝區,古庄里,4.04952074126738,0.1,0.5,0.4,0.1,0.0,0.0,65000210-003
新北市三芝區圓山里,新北市,三芝區,圓山里,-0.46486378442466636,0.1,0.4,0.4,0.1,0.0,0.0,65000210-011
新北市三芝區埔坪里,新北市,三芝區,埔坪里,0.6380936669306376,0.2,0.2,0.2,0.1,0.0,0.0,65000210-005
新北市三芝區埔頭里,新北市,三芝區,埔頭里,2.287068105135724,0.2,0.1,0.3,0.1,0.0,0.0,65000210-002
新北市三芝區店子里,新北市,三芝區,店子里,0.9810042556125853,0.1,0.5,0.4,0.1,0.0,0.0,65000210-012
新北市三芝區後厝里,新北市,三芝區,後厝里,1.626406148181428,0.1,0.5,0.3,0.2,0.0,0.0,65000210-009
新北市三芝區新庄里,新北市,三芝區,新庄里,4.972232798026096,0.1,0.5,0.3,0.1,0.0,0.0,65000210-004
新北市三芝區橫山里,新北市,三芝區,橫山里,0.6381711390243,0.1,0.5,0.4,0.1,0.0,0.0,65000210-007
新北市三芝區福德里,新北市,三芝區,福德里,2.3245598417766224,0.2,0.4,0.4,0.3,0.0,0.0,65000210-010
新北市三芝區興華里,新北市,三芝區,興華里,0.6823966166748664,0.1,0.5,0.4,0.2,0.0,0.0,65000210-013
新北市三芝區茂長里,新北市,三芝區,茂長里,2.394343586755178,0.1,0.4,0.4,0.1,0.0,0.0,65000210-006
新北市三芝區錫板里,新北市,三芝區,錫板里,3.0357761284401077,0.1,0.5,0.4,0.1,0.0,0.0,65000210-008
新北市三重區三安里,新北市,三重區,三安里,2.6091100951474275,0.2,0.4,0.3,0.2,0.0,0.0,65000020-072
新北市三重區三民里,新北市,三重區,三民里,-0.16881056970649458,0.5,0.2,0.3,0.3,0.0,0.0,65000020-019
