105|V_ID,105|QoL,105|QoL__4,105|QoL__5,105|c_,105|c__4,105|c__5,105|j_,105|j__4,105|j__5,105|ht_,105|ht__4,105|ht__5,105|s_,105|s__4,105|s__5,105|cs_,105|cs__4,105|cs__5,105|e_,105|h_,105|h__4,105|h__5,106|QoL,106|QoL__4,106|QoL__5,106|c_,106|c__4,106|c__5,106|j_,106|j__4,106|j__5,106|ht_,106|ht__4,106|ht__5,106|s_,106|s__4,106|s__5,106|cs_,106|cs__4,106|cs__5,106|e_,106|h_,106|h__4,106|h__5,107|QoL,107|QoL__4,107|QoL__5,107|c_,107|c__4,107|c__5,107|j_,107|j__4,107|j__5,107|ht_,107|ht__4,107|ht__5,107|s_,107|s__4,107|s__5,107|cs_,107|cs__4,107|cs__5,107|e_,107|h_,107|h__4,107|h__5,108|QoL,108|QoL__4,108|QoL__5,108|c_,108|c__4,108|c__5,108|j_,108|j__4,108|j__5,108|ht_,108|ht__4,108|ht__5,108|s_,108|s__4,108|s__5,108|cs_,108|cs__4,108|cs__5,108|e_,108|h_,108|h__4,108|h__5,109|QoL,109|QoL__4,109|QoL__5,109|c_,109|c__4,109|c__5,109|j_,109|j__4,109|j__5,109|ht_,109|ht__4,109|ht__5,109|s_,109|s__4,109|s__5,109|cs_,109|cs__4,109|cs__5,109|e_,109|h_,109|h__4,109|h__5
65000090-001,4.125442780263203,3,4,0.6166766525451887,4,5,0.0742226961619532,4,5,-1.086188480421507,1,1,2.0,2,3,2.0,2,2,1.0,-0.4792680880224321,4,5,5.148080794573535,4.0,5.0,0.6092281786600267,4.0,5.0,0.2997998068309051,4.0,5.0,-0.3928571428571428,3.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,-0.3680900480602539,4.0,5.0,4.39627686997043,4.0,4.0,0.2757520295840176,3.0,4.0,0.08084945556746469,4.0,5.0,-0.5069686411149826,3.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,-0.4533559740660697,4.0,5.0,4.689912957293076,4.0,4.0,0.33201515990812147,3.0,4.0,0.08861378694052509,4.0,5.0,-0.18892651888341527,4.0,5.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,-0.5417894706721552,4.0,5.0,4.608730853465532,4.0,4.0,0.3624567098868694,3.0,4.0,0.0772733311517844,4.0,5.0,-0.3474008261242304,3.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,-0.483598361448892,4.0,5.0
65000090-004,3.660799587006619,3,4,0.7938314116778982,4,5,-0.5714512252195887,2,3,-1.086188480421507,1,1,2.003875968992248,3,4,2.0,2,2,1.0,-0.4792680880224321,4,5,4.51180122097354,4.0,4.0,0.7375946143162334,4.0,5.0,-0.34372217141754485,3.0,4.0,-0.5178571428571428,3.0,4.0,2.003875968992248,3.0,4.0,2.0,2.0,2.0,1.0,-0.3680900480602539,4.0,5.0,3.8837926797001647,3.0,4.0,0.36953988406506216,3.0,4.0,-0.529298558176093,2.0,3.0,-0.5069686411149826,3.0,4.0,2.003875968992248,3.0,4.0,2.0,2.0,2.0,1.0,-0.4533559740660697,4.0,5.0,4.047476922843314,3.0,4.0,0.39249481990431145,4.0,4.0,-0.5556778764976751,2.0,3.0,-0.2514265188834153,4.0,5.0,2.003875968992248,3.0,4.0,2.0,2.0,2.0,1.0,-0.5417894706721552,4.0,5.0,4.104684054271554,3.0,4.0,0.49024995649675346,4.0,5.0,-0.5584426836443248,2.0,3.0,-0.3474008261242304,3.0,4.0,2.003875968992248,3.0,4.0,2.0,2.0,2.0,1.0,-0.483598361448892,4.0,5.0
65000090-025,2.2639053177274886,2,2,0.5967807657746471,4,5,-1.6284377057383252,1,1,-1.2290456232786497,1,1,2.003875968992248,3,4,2.0,2,2,1.0,-0.4792680880224321,4,5,3.2941556953248528,3.0,3.0,0.6188801045856581,4.0,5.0,-1.424796044478514,1.0,1.0,-0.5357142857142857,3.0,4.0,2.003875968992248,3.0,4.0,2.0,2.0,2.0,1.0,-0.3680900480602539,4.0,5.0,2.5012225621672766,2.0,3.0,0.2720273905773562,3.0,4.0,-1.6698360681889666,1.0,1.0,-0.6514887551472919,2.0,3.0,2.003875968992248,3.0,4.0,2.0,2.0,2.0,1.0,-0.4533559740660697,4.0,5.0,2.7074351101178222,2.0,3.0,0.20220299696061084,3.0,3.0,-1.645904056755657,1.0,1.0,-0.3109503284072249,4.0,4.0,2.003875968992248,3.0,4.0,2.0,2.0,2.0,1.0,-0.5417894706721552,4.0,5.0,2.6163007865567263,2.0,3.0,0.21056845647637723,3.0,3.0,-1.603010712736953,1.0,1.0,-0.5115345647260541,3.0,4.0,2.003875968992248,3.0,4.0,2.0,2.0,2.0,1.0,-0.483598361448892,4.0,5.0
65000090-026,-0.3051525127621904,1,1,0.6480758174472498,4,5,-0.9020574760512157,2,2,-1.5719027661357923,1,1,1.0,1,1,0.0,1,1,1.0,-0.4792680880224321,4,5,1.0881396654970894,1.0,1.0,0.6166319423285922,4.0,5.0,-0.3568308001998206,3.0,4.0,-0.8035714285714285,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,-0.3680900480602539,4.0,5.0,0.16782439308668365,1.0,1.0,0.3061424574092372,3.0,4.0,-0.8662259483496102,2.0,2.0,-0.8187361419068736,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,-0.4533559740660697,4.0,5.0,0.34124467641351164,1.0,1.0,0.25447194384742017,3.0,3.0,-0.8828602105548565,2.0,2.0,-0.4885775862068965,3.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,-0.5417894706721552,4.0,5.0,0.260117349425189,1.0,1.0,0.2678191214224689,3.0,4.0,-0.8541634214594629,2.0,2.0,-0.6699399890889253,2.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,-0.483598361448892,4.0,5.0
65000090-014,-0.026134439714308358,1,1,0.6210731829432719,4,5,-0.5999127374916037,2,3,-1.5719027661357923,1,1,1.003875968992248,2,2,0.0,1,1,1.0,-0.4792680880224321,4,5,1.1422752109647472,1.0,1.0,0.6228085667109764,4.0,5.0,-0.3127478481067949,3.0,4.0,-0.8035714285714285,1.0,2.0,1.003875968992248,2.0,2.0,0.0,1.0,1.0,1.0,-0.3680900480602539,4.0,5.0,0.3791783437591038,1.0,1.0,0.2565838045903203,3.0,3.0,-0.6075263426753547,2.0,3.0,-0.82039911308204,1.0,2.0,1.003875968992248,2.0,2.0,0.0,1.0,1.0,1.0,-0.4533559740660697,4.0,5.0,0.7956093579452719,1.0,1.0,0.3196641497048571,3.0,4.0,-0.577376922263586,2.0,3.0,-0.40876436781609193,3.0,4.0,1.003875968992248,2.0,2.0,0.0,1.0,1.0,1.0,-0.5417894706721552,4.0,5.0,0.6151315081301383,1.0,1.0,0.34155180364276183,3.0,4.0,-0.5355686068203003,2.0,3.0,-0.7111292962356792,2.0,2.0,1.003875968992248,2.0,2.0,0.0,1.0,1.0,1.0,-0.483598361448892,4.0,5.0
65000090-023,1.0387515872693671,1,1,0.618760820952984,4,5,-1.8755714913747834,1,1,-1.2290456232786497,1,1,2.003875968992248,3,4,1.0,1,1,1.0,-0.4792680880224321,4,5,2.3788641653579767,2.0,3.0,0.5598390166684712,4.0,5.0,-1.2810464865282034,1.0,1.0,-0.5357142857142857,3.0,4.0,2.003875968992248,3.0,4.0,1.0,1.0,1.0,1.0,-0.3680900480602539,4.0,5.0,1.2713921950321168,1.0,2.0,0.17912584072322252,3.0,3.0,-1.7840376127427198,1.0,1.0,-0.6742160278745646,2.0,3.0,2.003875968992248,3.0,4.0,1.0,1.0,1.0,1.0,-0.4533559740660697,4.0,5.0,1.5050257501354758,2.0,2.0,0.13225889484468695,2.0,3.0,-1.7783693146220791,1.0,1.0,-0.3109503284072249,4.0,4.0,2.003875968992248,3.0,4.0,1.0,1.0,1.0,1.0,-0.5417894706721552,4.0,5.0,1.2504669924203307,1.0,2.0,0.009630242111391074,2.0,2.0,-1.747993581106289,1.0,1.0,-0.5314472761281273,3.0,4.0,2.003875968992248,3.0,4.0,1.0,1.0,1.0,1.0,-0.483598361448892,4.0,5.0
65000090-003,2.8464712717740834,3,3,0.6708804301075325,4,5,-1.2589525898895102,1,1,-1.086188480421507,1,1,2.0,2,3,2.0,2,2,1.0,-0.4792680880224321,4,5,3.798318846999972,3.0,4.0,0.5979936070750065,4.0,5.0,-1.0387275691576379,1.0,2.0,-0.3928571428571428,3.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,-0.3680900480602539,4.0,5.0,3.0067624752513438,3.0,3.0,0.211826430651285,3.0,3.0,-1.2447393402188887,1.0,1.0,-0.5069686411149826,3.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,-0.4533559740660697,4.0,5.0,3.194705229048345,3.0,3.0,0.18474628607128551,3.0,3.0,-1.2384917341340362,1.0,1.0,-0.2097598522167487,4.0,5.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,-0.5417894706721552,4.0,5.0,3.156087036783745,3.0,3.0,0.19453441958846265,3.0,3.0,-1.2074481952315954,1.0,1.0,-0.3474008261242304,3.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,-0.483598361448892,4.0,5.0
65000090-011,0.009361410030969797,1,1,0.21168713584209087,3,3,-1.3589068096373926,1,1,-1.3719027661357925,1,1,1.0077519379844961,2,2,1.0,1,1,1.0,-0.4792680880224321,4,5,1.1203478726325897,1.0,1.0,0.1941455807717153,3.0,3.0,-1.0348881694919392,1.0,2.0,-0.6785714285714285,2.0,3.0,1.0077519379844961,2.0,2.0,1.0,1.0,1.0,1.0,-0.3680900480602539,4.0,5.0,0.44999112641211053,1.0,1.0,-0.15102036089959947,1.0,1.0,-1.1590385786022814,1.0,1.0,-0.7943458980044347,2.0,2.0,1.0077519379844961,2.0,2.0,1.0,1.0,1.0,1.0,-0.4533559740660697,4.0,5.0,0.9830532434422679,1.0,1.0,-0.014135052948977406,2.0,2.0,-1.0253833663233947,1.0,2.0,-0.44339080459770097,3.0,4.0,1.0077519379844961,2.0,2.0,1.0,1.0,1.0,1.0,-0.5417894706721552,4.0,5.0,0.9821556871519653,1.0,1.0,0.031311977448786776,2.0,2.0,-0.8848210506840349,2.0,2.0,-0.6884888161483906,2.0,3.0,1.0077519379844961,2.0,2.0,1.0,1.0,1.0,1.0,-0.483598361448892,4.0,5.0
65000090-010,2.192357692793541,2,2,0.6127003901961395,4,5,-1.5769237812288703,1,1,-1.3719027661357925,1,1,2.007751937984496,3,4,2.0,2,2,1.0,-0.4792680880224321,4,5,3.2359781298260306,3.0,3.0,0.5825254823929933,4.0,5.0,-1.3076378139197766,1.0,1.0,-0.6785714285714285,2.0,3.0,2.007751937984496,3.0,4.0,2.0,2.0,2.0,1.0,-0.3680900480602539,4.0,5.0,2.54571939788893,2.0,3.0,0.24018258175142626,3.0,3.0,-1.4073957331467764,1.0,1.0,-0.8414634146341463,1.0,1.0,2.007751937984496,3.0,4.0,2.0,2.0,2.0,1.0,-0.4533559740660697,4.0,5.0,2.771405611965442,3.0,3.0,0.1665693266226334,2.0,3.0,-1.365652044038498,1.0,1.0,-0.4954741379310344,3.0,4.0,2.007751937984496,3.0,4.0,2.0,2.0,2.0,1.0,-0.5417894706721552,4.0,5.0,2.738875184296398,2.0,3.0,0.23132313094416607,3.0,3.0,-1.3409332198554946,1.0,1.0,-0.6756683033278778,2.0,3.0,2.007751937984496,3.0,4.0,2.0,2.0,2.0,1.0,-0.483598361448892,4.0,5.0
65000090-021,-0.19594461402358493,1,1,0.6369290801001964,4,5,-1.1855788089578048,1,1,-1.1719027661357924,1,1,0.003875968992248,1,1,1.0,1,1,1.0,-0.4792680880224321,4,5,0.46473751295007315,1.0,1.0,0.5766103138712407,4.0,5.0,-0.944087293281733,2.0,2.0,-0.8035714285714285,1.0,2.0,0.003875968992248,1.0,1.0,1.0,1.0,1.0,1.0,-0.3680900480602539,4.0,5.0,-0.22456312348638913,1.0,1.0,0.2689381267300867,3.0,4.0,-1.1587662562291288,1.0,1.0,-0.8852549889135255,1.0,1.0,0.003875968992248,1.0,1.0,1.0,1.0,1.0,1.0,-0.4533559740660697,4.0,5.0,0.2660685620621131,1.0,1.0,0.2707193320681168,3.0,4.0,-1.124136693613453,1.0,1.0,-0.3426005747126436,3.0,4.0,0.003875968992248,1.0,1.0,1.0,1.0,1.0,1.0,-0.5417894706721552,4.0,5.0,-0.03203036988936321,1.0,1.0,0.3120854626546292,3.0,4.0,-1.0877976954064976,1.0,1.0,-0.776595744680851,2.0,2.0,0.003875968992248,1.0,1.0,1.0,1.0,1.0,1.0,-0.483598361448892,4.0,5.0
