VILLCODE,COUNTYNAME,TOWNNAME,VILLNAME,VILLENG,COUNTYID,COUNTYCODE,TOWNID,TOWNCODE,NOTE,105green,105water,108green,109green,110green,107green,106green,m109300,m109300s,m109500,m109500m,m108300,m108300s,m108500,m108500m,m107300,m107300s,m107500s,m107500m,m106300,m106300s,m106500,m106500s,m105300,m105300s,m105500,m105500s,fire,police,primary,secondary,gym,area
"63000090008",臺北市,南港區,西新里,Xixin Vil.,A,"63000",A13,"63000090",,"1","0","0","0","1","1","1","1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1","1","1","1",,"469990"
"63000090020",臺北市,南港區,重陽里,Zhongyang Vil.,A,"63000",A13,"63000090",,"0","1","1","0","1","1","0",,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,"1","1","1","1",,"385433"
"63000100037",臺北市,內湖區,蘆洲里,Luzhou Vil.,A,"63000",A14,"63000100",,"1","1","1","1","1","1","0","1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1","1","1",,,"771968"
"63000100028",臺北市,內湖區,石潭里,Shitan Vil.,A,"63000",A14,"63000100",,"1","1","1","1","1","1","1",,,,,,,,,,,,,,,,,,,,,"1","1","1",,,"1167225"
"65000060061",新北市,新店區,建國里,Jianguo Vil.,F,"65000",F07,"65000060",,"0","0","0","0","0","0","0","1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1","1","1",,,"55518"
"65000060051",新北市,新店區,福民里,Fumin Vil.,F,"65000",F07,"65000060",,"1","1","1","1","1","1","1","1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1","1","1",,,"285053"
"65000190005",新北市,石碇區,彭山里,Pengshan Vil.,F,"65000",F08,"65000190",,"1","0","1","1","1","1","1",,,,,,,,,,,,,,,,,,,,,,"1",,,,"3242896"
"65000130037",新北市,土城區,員信里,Yuanxin Vil.,F,"65000",F19,"65000130",,"1","0","1","1","1","1","1","1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1","1","1",,,"152068"
"65000130001",新北市,土城區,埤塘里,Pitang Vil.,F,"65000",F19,"65000130",,"1","0","1","1","1","1","1","1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1","1","1",,,"2464860"
"65000060043",新北市,新店區,忠誠里,Zhongcheng Vil.,F,"65000",F07,"65000060",,"0","0","0","0","1","1","1","1",,"1",,"1",,,,"1",,,,"1",,,,"1",,,,"1","1","1",,,"60853"
