V_ID,Town,Cluster_result,Cluster_name,QoL_Score,Marital status,Population Density,Natural Increase,Social Increase,Housing Price,Income,edu1,edu2,NO2,PM2.5,Hospital,Water,Green,Area,Metro in 300m,Multi Metro in 300m,Metro in 500m,Multi Metro in 500m,Primary School,High School,Gym,Fire station,Police station,Shelter
65000090-001,Sanxia District,1,Suburb: Small Town Settlement,79.57,0.006479252,0.078739486,0.16300045,0.113749373,0.193649006,0.002535296,0.008006028,0.379214561,0.087151014,0.541696523,0.285714286,0,1,0.000206147,0,0,0,0,1,1,0,1,1,0
65000090-004,Sanxia District,1,Suburb: Small Town Settlement,72.45,0.108768194,0.03991362,0.190574459,0.127951211,0.193649006,0.04381298,0.106958451,0.540699236,0.087151014,0.541696523,0.285714286,0,1,0.005228113,0,0,0,0,1,1,0,1,1,0.003875969
65000090-025,Sanxia District,1,Suburb: Small Town Settlement,48.59,0.152929914,0.043727912,0.179715207,0.111903009,0.193649006,0.04655105,0.148105048,0.671119893,0.087151014,0.564872184,0.142857143,0,1,0.005446535,0,0,0,0,1,1,0,1,1,0.003875969
65000090-026,Sanxia District,0,Suburb: Remote and Desolate,8.27,0.11295457,0.015230214,0.178284808,0.111109926,0.193649006,0.035565671,0.112280596,0.574549601,0.07973842,0.595873537,0,0,1,0.009419346,0,0,0,0,0,0,0,0,1,0
65000090-014,Sanxia District,0,Suburb: Remote and Desolate,11.96,0.027728275,0.000504471,0.140115176,0.113066262,0.193649006,0.004071891,0.023325384,0.441199637,0.087151014,0.626988191,0,0,1,0.009703872,0,0,0,0,0,0,0,0,1,0.003875969
65000090-023,Sanxia District,1,Suburb: Small Town Settlement,21.57,0.18155037,0.01625113,0.161367884,0.110627181,0.193649006,0.052666383,0.18229025,0.776045657,0.094125604,0.57261181,0.142857143,0,1,0.007303643,0,0,0,0,0,1,0,1,1,0.003875969
65000090-003,Sanxia District,1,Suburb: Small Town Settlement,58.2,0.12386679,0.09134671,0.164613214,0.111508249,0.193649006,0.041458588,0.120962063,0.582156182,0.087151014,0.541696523,0.285714286,0,1,0.000630186,0,0,0,0,1,1,0,1,1,0
65000090-011,Sanxia District,0,Suburb: Remote and Desolate,17.2,0.077893121,0.003034214,0.067060497,0.115155989,0.193649006,0.022595492,0.06979176,0.522650725,0.094125604,0.588112512,0,0,1,0.009446531,0,0,0,0,1,0,0,0,1,0.007751938
65000090-010,Sanxia District,1,Suburb: Small Town Settlement,51.61,0.126827535,0.004876231,0.158042115,0.115301308,0.193649006,0.042781829,0.117929249,0.61682944,0.087151014,0.588112512,0,0,1,0.008799334,0,0,0,0,1,1,0,1,1,0.007751938
65000090-021,Sanxia District,0,Suburb: Remote and Desolate,5.78,0.048747046,0.000614977,0.143882862,0.11102983,0.193649006,0.009776085,0.038342659,0.473063678,0.112713706,0.642587502,0,0,1,0.00970961,0,0,0,0,1,0,0,0,0,0.003875969
65000090-024,Sanxia District,1,Suburb: Small Town Settlement,39.31,0.19895999,0.157579035,0.167780532,0.10872745,0.193649006,0.072090241,0.202067778,0.726509299,0.087151014,0.557139743,0.285714286,0,1,0.001955784,0,0,0,0,1,1,0,1,1,0.003875969
