,Mean 0Suburb: Remote and Desolate,Mean 1Suburb: Small Town Settlement,Mean 2Outskirt: Influx of New Residents,Mean 3City Center,Mean 4Close to Downtown: Convenient Transportation,"Mean 5Outskirt: High Population Density, Old Town",Mean 6Downtown: New Taipei City,Std 0Suburb: Remote and Desolate,Std 1Suburb: Small Town Settlement,Std 2Outskirt: Influx of New Residents,Std 3City Center,Std 4Close to Downtown: Convenient Transportation,"Std 5Outskirt: High Population Density, Old Town",Std 6Downtown: New Taipei City
QoL_Score,19.953881856540075,50.304053333333336,28.70045454545455,73.34829629629633,81.04825825825829,34.96066666666666,39.15285714285714,13.87684320154336,19.754314700894096,18.83050038713733,18.18710074868715,15.737175615554035,19.381387933022,28.622997658725904
Marital status,0.08063414384388187,0.12304598211466657,0.09910253091666665,0.14658196933333334,0.15984397232732722,0.12480744559999998,0.12471790785714285,0.06307697216374103,0.06277232648683602,0.046666598150064395,0.036894536174294036,0.050693746806866585,0.04467887535427979,0.043585422245245406
Population Density,0.04794729921687762,0.12418539240533323,0.24147742330303035,0.23323111870370378,0.15375512701801808,0.26813384412666663,0.24593143412698404,0.08676522422410779,0.11464971838358297,0.08932060101292351,0.06761537721254586,0.0910607435034124,0.07493513839982824,0.08517225522706677
Natural Increase,0.16126119318143445,0.16951028674399987,0.1620573079242425,0.16722833148888894,0.17336147799099091,0.1657029181466667,0.16930841947619044,0.017298050284310633,0.022597491562827376,0.021271098230188048,0.0196340829962172,0.025906539477828755,0.017965021427888167,0.02374248236217843
Social Increase,0.11225203282700416,0.11161088302399982,0.11239246992424241,0.10559016316296296,0.10802233361861861,0.11146587915333338,0.11180971642857147,0.004661283337897378,0.007897623586894423,0.003938705076503875,0.01122503969463255,0.01106777187548851,0.004933397016965167,0.005586898773862854
Housing Price,0.19523436930801732,0.23009659252266634,0.27188493781818107,0.39643444851851806,0.3502823159849855,0.2802734385466672,0.27598070959523885,0.10325610706854917,0.09555326169914968,0.003089143820798084,0.07649075229474675,0.09430740352561674,0.04474053405888358,0.011086883604470191
Income,0.03407277703797471,0.05326718338400005,0.04160727805303031,0.0856356707037037,0.08860122799399399,0.05854213144666667,0.056436002944444466,0.03300325681195049,0.03130277736015818,0.02291912690623607,0.02400887161206881,0.029402495991654103,0.02227620849964498,0.023093106154378203
edu1,0.07837663013924048,0.1216443490986666,0.09745609173484851,0.1502982286814814,0.1626900043933933,0.12612878711999992,0.12209932769841274,0.06469267979378544,0.0632946397419447,0.04621478216248896,0.03791032659289441,0.05132251327371504,0.04443124809084653,0.043319610178120006
edu2,0.4616373180970463,0.5028171259466667,0.49200233266666654,0.3678085486148147,0.3856039284654652,0.4730388749466668,0.48924261009523806,0.09115605393649812,0.11513214274871271,0.07977217590756666,0.11167662604886622,0.12469957910677537,0.09076062743585504,0.08389836348834724
NO2,0.11393602540928273,0.09587056211466684,0.10354441358333338,0.1075858920888889,0.10220128069969985,0.10245289034666659,0.114605254031746,0.03604877894414987,0.03239712078949395,0.022753615281915884,0.028974576476092147,0.02862828468717806,0.022881341601466886,0.010484997899385869
PM2.5,0.6333371439282703,0.633288029384001,0.5577818724318178,0.6080180516296295,0.6562617963273282,0.6085597987266668,0.5625472752619041,0.13844963134990754,0.14331224138360632,0.23221739510424685,0.19919139106429398,0.20045587296054224,0.12920152876943278,0.04613443327567371
Hospital,0.040385774603375516,0.12152380963466694,0.14177489191666673,0.33862433878518544,0.2355212356306309,0.14380952395333335,0.2018140591269843,0.072066804691694,0.12871932198656783,0.1021595942822389,0.19802615738575724,0.22118718334488496,0.11761295982487338,0.17913154796286196
Water,0.13924050632911392,0.16266666666666665,0.0,0.044444444444444446,0.15015015015015015,0.006666666666666667,0.031746031746031744,0.3469300184105133,0.369554339687921,0.0,0.2068479384759277,0.3577561113640849,0.08164965809277254,0.17602308650892065
