VILLAGE,COUNTY,TOWN,V_ID,QoL,Child Dependency Ratio,Elderly Dependency Ratio,Social Increase,Average Income,Metro 300 Multi,Metro 500 Multi
文化里,新北市,淡水區,65000100-031,"4.590168796431725","0.3","0.3","0.5","0.2","0.0","0.0"
油車里,新北市,淡水區,65000100-032,"6.024701492226448","0.2","0.3","0.5","0.2","0.0","1.0"
沙崙里,新北市,淡水區,65000100-033,"6.185815155829623","0.2","0.2","0.5","0.2","1.0","1.0"
新義里,新北市,淡水區,65000100-034,"2.091675954219795","0.4","0.2","0.2","0.1","0.0","0.0"
新春里,新北市,淡水區,65000100-035,"3.3812890083280216","0.4","0.1","0.5","0.3","0.0","0.0"
新民里,新北市,淡水區,65000100-036,"2.621252952773172","0.2","0.2","0.3","0.3","0.0","0.0"
正德里,新北市,淡水區,65000100-037,"5.849685079296832","0.4","0.1","0.5","0.3","1.0","1.0"
北新里,新北市,淡水區,65000100-038,"7.561420921978669","0.3","0.1","0.5","0.3","1.0","1.0"
民權里,新北市,淡水區,65000100-039,"2.913982024349008","0.1","0.2","0.5","0.4","0.0","0.0"
幸福里,新北市,淡水區,65000100-040,"4.576992066399746","0.3","0.3","0.4","0.2","0.0","0.0"
學府里,新北市,淡水區,65000100-041,"4.470327025340527","0.2","0.1","0.5","0.2","0.0","1.0"
大庄里,新北市,淡水區,65000100-042,"4.757133561398157","0.2","0.2","0.5","0.3","1.0","1.0"
義民里,新北市,汐止區,65000110-001,"3.9033800841322788","0.1","0.5","0.4","0.2","0.0","0.0"
禮門里,新北市,汐止區,65000110-002,"4.146366212060062","0.2","0.4","0.5","0.3","0.0","0.0"
智慧里,新北市,汐止區,65000110-003,"3.467654945527369","0.2","0.1","0.4","0.4","0.0","0.0"
信望里,新北市,汐止區,65000110-004,"3.383483954457556","0.1","0.5","0.4","0.2","0.0","0.0"
橋東里,新北市,汐止區,65000110-005,"2.716231367265237","0.5","0.1","0.5","0.3","0.0","0.0"
秀峰里,新北市,汐止區,65000110-006,"2.1787038484343224","0.4","0.2","0.4","0.3","0.0","0.0"
新昌里,新北市,汐止區,65000110-007,"2.4332418650489047","0.4","0.2","0.3","0.3","0.0","0.0"
復興里,新北市,汐止區,65000110-008,"3.680726595917557","0.3","0.1","0.5","0.5","0.0","0.0"
茄苳里,新北市,汐止區,65000110-009,"0.6355849145013199","0.4","0.1","0.5","0.1","0.0","0.0"
長安里,新北市,汐止區,65000110-010,"1.813351034620874","0.2","0.3","0.5","0.1","0.0","0.0"
保安里,新北市,汐止區,65000110-011,"1.61123649808658","0.1","0.3","0.4","0.1","0.0","0.0"
保長里,新北市,汐止區,65000110-012,"0.9221728651264999","0.4","0.1","0.5","0.2","0.0","0.0"
鄉長里,新北市,汐止區,65000110-013,"1.4702769274469942","0.1","0.2","0.3","0.1","0.0","0.0"
江北里,新北市,汐止區,65000110-014,"3.34166007806082","0.2","0.1","0.5","0.1","0.0","0.0"
拱北里,新北市,汐止區,65000110-015,"-0.48206117991522396","0.2","0.2","0.4","0.1","0.0","0.0"
烘內里,新北市,汐止區,65000110-016,"0.5926375649535237","0.1","0.4","0.5","0.2","0.0","0.0"
群英里,臺北市,大安區,63000030-037,"3.638840864073182","0.3","0.5","0.1","0.5","0.0","0.0"
虎嘯里,臺北市,大安區,63000030-038,"3.3047727635788178","0.5","0.5","0.1","0.5","0.0","0.0"
臥龍里,臺北市,大安區,63000030-039,"5.516280939927228","0.5","0.4","0.3","0.5","0.0","0.0"
龍淵里,臺北市,大安區,63000030-040,"6.025688562236425","0.5","0.3","0.1","0.5","0.0","0.0"
龍門里,臺北市,大安區,63000030-041,"6.127230529896136","0.5","0.5","0.2","0.5","0.0","0.0"
大學里,臺北市,大安區,63000030-043,"6.711756223944224","0.5","0.5","0.1","0.5","0.0","1.0"
芳和里,臺北市,大安區,63000030-044,"3.2502552845554984","0.3","0.5","0.3","0.5","0.0","0.0"
黎元里,臺北市,大安區,63000030-046,"1.6827724794426886","0.4","0.3","0.2","0.3","0.0","1.0"
黎孝里,臺北市,大安區,63000030-047,"2.154764053424692","0.3","0.5","0.1","0.4","0.0","1.0"
黎和里,臺北市,大安區,63000030-048,"3.5419454194529534","0.2","0.4","0.1","0.5","0.0","1.0"
建安里,臺北市,大安區,63000030-049,"6.897809466535516","0.5","0.5","0.1","0.5","0.0","0.0"
建倫里,臺北市,大安區,63000030-050,"6.943117274936074","0.5","0.5","0.1","0.5","0.0","1.0"
敦安里,臺北市,大安區,63000030-051,"7.239289985055068","0.5","0.5","0.1","0.5","0.0","1.0"
正聲里,臺北市,大安區,63000030-052,"5.579417025699403","0.5","0.5","0.1","0.5","0.0","0.0"
敦煌里,臺北市,大安區,63000030-053,"7.0953007188497565","0.5","0.5","0.2","0.5","0.0","1.0"
華聲里,臺北市,大安區,63000030-054,"3.6840628376367333","0.5","0.5","0.2","0.5","0.0","0.0"
車層里,臺北市,大安區,63000030-055,"7.353681327429536","0.5","0.5","0.1","0.5","0.0","1.0"
光信里,臺北市,大安區,63000030-056,"6.650065333137249","0.5","0.5","0.1","0.5","0.0","1.0"
